gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Ttc6	chr12	57564112	57737927	-0.00797599326495202	3.17809196842433e-05	Hypomethylated	0	0	0
Hnrnpul2	chr19	8820009	8834142	0.0279783776749536	3.17809196842433e-05	Hypermethylated	0	0	0
Wsb2	chr5	117357303	117378600	0.0238615418935638	3.18313693599285e-05	Hypermethylated	0	0	0
Gper1	chr5	139423150	139427799	0.0388834915815625	3.18313693599285e-05	Hypermethylated	3	2	-1
Orai2	chr5	136147458	136170712	0.027831586359196	3.18313693599285e-05	Hypermethylated	0	0	0
M6pr	chr6	122308719	122317679	0.0398644600732518	3.18313693599285e-05	Hypermethylated	1	1	0
Ubn1	chr16	5050056	5086288	0.0221647420097373	3.18313693599285e-05	Hypermethylated	0	0	0
Btf3l4	chr4	108814294	108833613	0.0310566412255712	3.18712543942116e-05	Hypermethylated	0	0	0
Gm50364	chr18	76930125	76971448	0.0148385581188007	3.18754601511202e-05	Hypermethylated	0	0	0
Pnma1	chr12	84146130	84148488	-0.0471454605767689	3.19130328808287e-05	Hypomethylated	2	2	0
Cldn14	chr16	93919030	94008836	-0.00904528376619262	3.19874729635044e-05	Hypomethylated	2	2	0
Atpaf2	chr11	60400625	60418456	0.0298777476972982	3.22991185053293e-05	Hypermethylated	0	0	0
Mgat4b	chr11	50210889	50235102	0.0260431303663264	3.24114814482124e-05	Hypermethylated	0	0	0
Cdiptos	chr7	126971721	126976097	0.0580422550354751	3.25022819048145e-05	Hypermethylated	0	0	0
Stx3	chr19	11775117	11819402	0.0177204147972377	3.25443245076377e-05	Hypermethylated	0	0	0
Pwwp2a	chr11	43681997	43721490	0.0201340308339857	3.26543316821348e-05	Hypermethylated	0	0	0
Slc25a30	chr14	75760116	75787036	0.0180935861124895	3.26549134538255e-05	Hypermethylated	1	1	0
Tigd5	chr15	75909734	75914534	0.0809629567552936	3.26572413589016e-05	Hypermethylated	1	1	0
B3galt2	chr1	143640663	143654613	-0.0326008108819769	3.2724319723042e-05	Hypomethylated	2	4	2
Vasp	chr7	19256928	19271816	0.0344716654346673	3.27605614566223e-05	Hypermethylated	0	0	0
Plrg1	chr3	83055521	83072354	0.01857359972322	3.28000975949001e-05	Hypermethylated	0	1	1
2310022A10Rik	chr7	27553232	27582098	0.0181284731811874	3.31110598246029e-05	Hypermethylated	0	0	0
Zfp950	chr19	61053839	61140839	0.0153741056286513	3.3112786671204e-05	Hypermethylated	0	1	1
Jag1	chr2	137081455	137116643	-0.0170522628293274	3.31998948225515e-05	Hypomethylated	2	2	0
Myocd	chr11	65176560	65269988	0.010074397641027	3.33033337186182e-05	Hypermethylated	2	1	-1
Hint1	chr11	54866382	54870500	0.060205286952891	3.33251981743375e-05	Hypermethylated	0	0	0
Zbed4	chr15	88751659	88784515	0.0215517635552772	3.34061496558369e-05	Hypermethylated	0	0	0
Lrrc75a	chr11	62604883	62648522	-0.0180666222794527	3.34161808771305e-05	Hypomethylated	3	1	-2
Zfp414	chr17	33629089	33631778	0.0626869468590864	3.3497313719894e-05	Hypermethylated	0	0	0
Cpsf7	chr19	10525265	10547652	0.0283770742970113	3.36001668604561e-05	Hypermethylated	0	0	0
Robo4	chr9	37401896	37415114	-0.0304679827349653	3.36022873515541e-05	Hypomethylated	1	1	0
Becn1	chr11	101285951	101302285	0.0227324380117356	3.3612095417958e-05	Hypermethylated	0	0	0
Plpp4	chr7	129257030	129391411	-0.0095119418075359	3.36177076029164e-05	Hypomethylated	0	0	0
Pax8	chr2	24420559	24475598	-0.0159892395720013	3.36189181633618e-05	Hypomethylated	2	1	-1
Adcy4	chr14	55769056	55784094	-0.0257081725923289	3.36803736228749e-05	Hypomethylated	3	2	-1
Rbx1	chr15	81466295	81476368	0.0334119281452491	3.3819644959943e-05	Hypermethylated	0	0	0
Trappc12	chr12	28690627	28750471	0.0130232440517626	3.38600837032262e-05	Hypermethylated	0	0	0
Phgdh	chr3	98313169	98339989	-0.0212579918648675	3.40873341374353e-05	Hypomethylated	2	0	-2
Adam12	chr7	133883198	134232145	-0.005402471072527	3.41128326949842e-05	Hypomethylated	7	7	0
Mov10	chr3	104794835	104818562	-0.0198694531891674	3.4358573214723e-05	Hypomethylated	1	0	-1
Gcgr	chr11	120530698	120538985	-0.0413748263239808	3.45492753321607e-05	Hypomethylated	3	3	0
Zfp64	chr2	168893330	168955586	-0.0111792187302709	3.45781570744923e-05	Hypomethylated	1	1	0
Mro	chr18	73859384	73881332	-0.0203251523306738	3.45801323551864e-05	Hypomethylated	3	3	0
Gyg	chr3	20122083	20155316	-0.0181319159347423	3.47037530914013e-05	Hypomethylated	0	0	0
Pex13	chr11	23646478	23665958	0.0261873815447234	3.4754967861926e-05	Hypermethylated	0	0	0
Fam181a	chr12	103310974	103317064	-0.0503136092047002	3.48463086765688e-05	Hypomethylated	1	1	0
Amotl2	chr9	102716671	102733417	-0.0282591870165492	3.48822469073451e-05	Hypomethylated	3	3	0
Ezh1	chr11	101191114	101226462	0.0159631823588988	3.48822469073451e-05	Hypermethylated	0	0	0
Zfp384	chr6	125009144	125037869	0.0198907894225614	3.49249569391975e-05	Hypermethylated	0	0	0
Galc	chr12	98202293	98259458	0.0112085233034653	3.5052934480135e-05	Hypermethylated	1	1	0
Gm45902	chr2	3504526	3512789	0.0334122416806499	3.51007240848221e-05	Hypermethylated	0	0	0
Ctsb	chr14	63122461	63145922	0.0239027587155584	3.51766016199509e-05	Hypermethylated	0	1	1
Dus2	chr8	105991336	106053839	0.0112448537736037	3.51875757181254e-05	Hypermethylated	0	0	0
Pla2g12a	chr3	129878605	129895824	0.0201411602848853	3.52668152927746e-05	Hypermethylated	0	0	0
Dhx16	chr17	35879818	35892669	0.020707946373687	3.52785039833972e-05	Hypermethylated	0	0	0
Gpr75	chr11	30885357	30893728	0.0500430806926796	3.5278556861001e-05	Hypermethylated	0	0	0
Tmem123	chr9	7764040	7794332	0.0176627096741315	3.53301953068952e-05	Hypermethylated	1	1	0
Rxra	chr2	27676439	27762956	-0.0141048048686836	3.55110805889161e-05	Hypomethylated	12	8	-4
Poglut2	chr1	44106545	44118807	0.0261551051681479	3.56172870661775e-05	Hypermethylated	0	1	1
Rbpms2	chr9	65629647	65660527	-0.0196969987416525	3.58084642215565e-05	Hypomethylated	2	0	-2
Itga8	chr2	12106631	12301921	-0.00813431071475823	3.60792190262946e-05	Hypomethylated	1	1	0
Hes2	chr4	152158866	152162468	-0.0724059352987784	3.60792190262946e-05	Hypomethylated	1	1	0
Mtf1	chr4	124802103	124849799	0.0137637078757529	3.6174202913202e-05	Hypermethylated	0	0	0
Terf2	chr8	107069399	107096546	0.0168789522731766	3.6174202913202e-05	Hypermethylated	0	0	0
Lep	chr6	29060219	29073876	0.0326499190053188	3.61878417300947e-05	Hypermethylated	2	3	1
Zfp74	chr7	29930814	29954088	0.0180863856156434	3.63244951983556e-05	Hypermethylated	0	0	0
Zfp329	chr7	12804976	12818857	0.0235079235546205	3.63981181791972e-05	Hypermethylated	0	0	0
Ulk2	chr11	61775648	61855072	0.0137454643904205	3.63981181791972e-05	Hypermethylated	0	0	0
Plxdc1	chr11	97923237	97986443	-0.0129337844533833	3.64050314007087e-05	Hypomethylated	5	2	-3
4933402J07Rik	chr8	87563852	87589423	-0.0194846216751456	3.64559001914285e-05	Hypomethylated	13	11	-2
4930503L19Rik	chr18	70452211	70472508	0.0186664218843722	3.66521241294325e-05	Hypermethylated	0	0	0
Prom2	chr2	127526472	127541466	0.0354488912943377	3.67224929151723e-05	Hypermethylated	1	1	0
5730455P16Rik	chr11	80360491	80378033	0.021738662062928	3.68206378931425e-05	Hypermethylated	0	0	0
Myo5a	chr9	75071014	75223687	0.0106083966213604	3.68843042714305e-05	Hypermethylated	0	0	0
Zfp78	chr7	6363279	6382604	0.0252727177494124	3.69397302753041e-05	Hypermethylated	1	0	-1
Nckap5	chr1	125913619	126830798	-0.00367612463153932	3.69548612163796e-05	Hypomethylated	24	18	-6
Itgb6	chr2	60598291	60722642	-0.00858663562345474	3.71479020878095e-05	Hypomethylated	3	2	-1
Ift80	chr3	68892498	69004569	0.00805840071693631	3.74197955894337e-05	Hypermethylated	0	1	1
Sod2	chr17	13006845	13040062	0.0220069310397477	3.74805888456882e-05	Hypermethylated	0	0	0
Abhd16a	chr17	35089262	35102986	0.029831006013406	3.74805888456882e-05	Hypermethylated	0	0	0
4930430F08Rik	chr10	100572264	100590422	0.0212714425072716	3.75432246513919e-05	Hypermethylated	0	0	0
Asnsd1	chr1	53344616	53352751	0.0316991099193652	3.75622228720945e-05	Hypermethylated	0	0	0
Pmpcb	chr5	21737140	21757151	0.0200213744302991	3.759498085076e-05	Hypermethylated	0	0	0
Cttnbp2nl	chr3	105001914	105053145	0.0125619160350826	3.78391152909219e-05	Hypermethylated	0	1	1
Arntl2	chr6	146796054	146833528	-0.0142790594699296	3.79113035660081e-05	Hypomethylated	0	0	0
Cd300lf	chr11	115116213	115133991	0.022538324984801	3.79862277137642e-05	Hypermethylated	0	0	0
Sub1	chr15	11981338	11996982	0.0313008114161059	3.80210075627909e-05	Hypermethylated	0	1	1
Hilpda	chr6	29272487	29275445	0.054573761440331	3.80607762795616e-05	Hypermethylated	0	0	0
Kat5	chr19	5603013	5610236	0.036651139449625	3.81108247994978e-05	Hypermethylated	0	0	0
Mvd	chr8	122433600	122443421	0.0308016824421637	3.81271389769025e-05	Hypermethylated	0	0	0
Slc36a4	chr9	15709737	15743360	-0.0164867641083277	3.81380576782607e-05	Hypomethylated	0	0	0
Tmem242	chr17	5410869	5440258	0.0140313559715046	3.82195825245716e-05	Hypermethylated	0	0	0
Gar1	chr3	129824911	129831395	0.0407098049778453	3.82842268594846e-05	Hypermethylated	0	0	0
Rtp4	chr16	23520290	23614221	-0.0114810462696965	3.85087910878553e-05	Hypomethylated	1	1	0
Cdadc1	chr14	59559387	59597958	0.0151887285952823	3.8941477711673e-05	Hypermethylated	0	0	0
Ltk	chr2	119751319	119760430	-0.0424764979157504	3.89661056573196e-05	Hypomethylated	1	1	0
Rnd3	chr2	51130437	51149110	-0.0240788907931415	3.90434123946973e-05	Hypomethylated	4	2	-2
Rpp40	chr13	35893471	35906358	-0.0236341381159765	3.91216423092811e-05	Hypomethylated	2	4	2
Poglut1	chr16	38525136	38550257	0.0150978626354062	3.92104536405956e-05	Hypermethylated	0	0	0
Arhgef17	chr7	100869751	100932106	-0.0131024650123904	3.96880311897917e-05	Hypomethylated	4	2	-2
Creld1	chr6	113483296	113493342	0.0353517265501486	3.98045528828426e-05	Hypermethylated	1	1	0
Gng12	chr6	66896396	67021349	-0.00937233806859927	3.98199040652625e-05	Hypomethylated	3	2	-1
Tmem60	chr5	20882190	20886869	0.0456391256610706	3.99149763163647e-05	Hypermethylated	0	1	1
Tnks	chr8	34826459	34965689	0.00955746534139024	4.00344546183565e-05	Hypermethylated	0	2	2
Psmg1	chr16	95979932	95990959	0.0272324557121455	4.01306186926642e-05	Hypermethylated	0	0	0
Tgfbr3l	chr8	4248213	4251422	-0.053271979805197	4.02893552456699e-05	Hypomethylated	0	0	0
Il1rl1	chr1	40429569	40465414	-0.0137794225222956	4.03139006478947e-05	Hypomethylated	0	0	0
Stx18	chr5	38038741	38137764	0.0121243073362565	4.04448453771324e-05	Hypermethylated	2	1	-1
Edil3	chr13	88821471	89323222	-0.00541149004282626	4.04448453771324e-05	Hypomethylated	1	1	0
Adcyap1r1	chr6	55451977	55501450	0.0180743677219269	4.06916731533547e-05	Hypermethylated	9	7	-2
Stx4a	chr7	127824293	127849018	0.020155137038994	4.07920144916419e-05	Hypermethylated	0	0	0
Slc26a5	chr5	21810654	21865603	-0.0120798558138099	4.10118440438504e-05	Hypomethylated	1	0	-1
Zfp715	chr7	43296196	43313293	0.0312773614481379	4.10205093099021e-05	Hypermethylated	0	0	0
Itga4	chr2	79255425	79333122	0.0116678769567216	4.10389239677703e-05	Hypermethylated	4	5	1
Kera	chr10	97606878	97613691	0.0306906758251526	4.11446518150912e-05	Hypermethylated	0	1	1
Ubtf	chr11	102304559	102319741	0.0320843730426796	4.12281204970664e-05	Hypermethylated	0	0	0
Lgi2	chr5	52533516	52566461	-0.0155651968658432	4.13677867769978e-05	Hypomethylated	6	4	-2
Garem2	chr5	30105160	30118377	-0.0369921283392709	4.14771510035888e-05	Hypomethylated	1	2	1
Aldh1a2	chr9	71215788	71296242	-0.0125611581947871	4.16661581537188e-05	Hypomethylated	1	1	0
Msh6	chr17	87975061	87990891	0.0260403533606699	4.16882205886077e-05	Hypermethylated	0	0	0
Gpr165	chrX	96713440	96719387	-0.0537757512431797	4.17604290926741e-05	Hypomethylated	0	0	0
Pex2	chr3	5560187	5576238	0.0345919886870473	4.17616882808564e-05	Hypermethylated	0	0	0
Snx14	chr9	88376746	88438957	0.0128820510577955	4.19791490600605e-05	Hypermethylated	0	0	0
Col22a1	chr15	71795794	72034226	-0.00720858142238645	4.19971310314942e-05	Hypomethylated	3	7	4
Zfp472	chr17	32965813	32979232	0.0249459547466495	4.2051940192827e-05	Hypermethylated	0	0	0
Tpi1	chr6	124810585	124814295	0.0434496440237628	4.2077677238245e-05	Hypermethylated	0	0	0
Ddx18	chr1	121553834	121567988	0.0222676079820033	4.21044976613439e-05	Hypermethylated	0	0	0
Dhx36	chr3	62468012	62507003	0.0166619362955965	4.22243402791953e-05	Hypermethylated	0	0	0
Sec61a1	chr6	88503578	88518904	0.0244602863357849	4.2458909649065e-05	Hypermethylated	1	1	0
Slc34a1	chr13	55398186	55415591	-0.0257371647215835	4.25003632537874e-05	Hypomethylated	0	0	0
Cep131	chr11	120064429	120086826	-0.0217546102202962	4.28144703416223e-05	Hypomethylated	1	0	-1
Brpf3	chr17	28801089	28839948	-0.0118273825342615	4.28458983456518e-05	Hypomethylated	2	1	-1
Slc17a7	chr7	45163948	45176141	0.0346162380440868	4.29563441780729e-05	Hypermethylated	1	0	-1
Gskip	chr12	105684828	105703022	0.0218076409478504	4.3159721064865e-05	Hypermethylated	0	0	0
Supt7l	chr5	31514563	31527806	0.0259339267458901	4.31797069091678e-05	Hypermethylated	0	0	0
Rspo4	chr2	151842926	151874667	-0.017559647108745	4.34885821864789e-05	Hypomethylated	1	0	-1
Tmem106b	chr6	13069758	13089268	0.0229956491182775	4.35878623832602e-05	Hypermethylated	0	0	0
Tmem88b	chr4	155781590	155785873	0.0588721530697315	4.36828455857471e-05	Hypermethylated	0	0	0
Zdhhc4	chr5	143316488	143329255	0.0225231481760563	4.38705910226564e-05	Hypermethylated	0	0	0
Slx4	chr16	3979104	4003769	-0.0200873095423221	4.40288078818189e-05	Hypomethylated	0	0	0
Bnipl	chr3	95241270	95251192	0.0307391784305557	4.40475588842849e-05	Hypermethylated	0	1	1
Gpnmb	chr6	49036545	49070928	-0.0163955622560139	4.4075959280668e-05	Hypomethylated	1	0	-1
Rab4b	chr7	27168423	27178895	0.0341754899684125	4.41985967123426e-05	Hypermethylated	0	0	0
Atp5g1	chr11	96068851	96075669	0.0460681412914639	4.42981704542543e-05	Hypermethylated	0	0	0
Ercc6	chr14	32513520	32580989	0.0124440051744424	4.46364892323541e-05	Hypermethylated	1	0	-1
Gpr84	chr15	103308234	103310611	-0.0620786861957886	4.47199179242565e-05	Hypomethylated	2	3	1
Pigz	chr16	31933850	31946045	0.0330304380729023	4.47199179242565e-05	Hypermethylated	1	1	0
Uqcrfs1	chr13	30540307	30545361	0.047199617377368	4.47907648025581e-05	Hypermethylated	0	0	0
Cldn13	chr5	134914248	134915525	-0.0669035381551891	4.4797680814017e-05	Hypomethylated	0	0	0
Ciart	chr3	95878502	95882250	0.0605579665065126	4.48102983875926e-05	Hypermethylated	0	1	1
Dntt	chr19	41029274	41059524	-0.0186077743539332	4.50134790699167e-05	Hypomethylated	0	0	0
St7l	chr3	104864004	104930063	0.0135639420079692	4.50312166067366e-05	Hypermethylated	0	0	0
Rab11b	chr17	33742483	33760529	0.0313924538301309	4.51907067780416e-05	Hypermethylated	0	0	0
Dgat1	chr15	76502014	76511952	0.0436857185455237	4.52337568755806e-05	Hypermethylated	0	0	0
Ipmk	chr10	71347762	71433326	0.00993353247477802	4.57752979588366e-05	Hypermethylated	2	3	1
Lrp5	chr19	3584827	3686563	-0.00967626306614355	4.58668174781107e-05	Hypomethylated	1	0	-1
Sod1	chr16	90220753	90226328	0.0414777566627998	4.60304083392509e-05	Hypermethylated	0	0	0
Alpk3	chr7	81057599	81105611	-0.0135189424394039	4.60699767814535e-05	Hypomethylated	0	0	0
Dbndd2	chr2	164486105	164493318	0.047710336562979	4.61688332792904e-05	Hypermethylated	0	0	0
Adgra3	chr5	49959955	50059005	-0.00812736347168952	4.63640317973684e-05	Hypomethylated	6	9	3
Tgfb3	chr12	86056744	86079040	0.0223786185268551	4.6447636668198e-05	Hypermethylated	3	4	1
Ina	chr19	47014697	47025326	-0.0302980324527288	4.65339347988485e-05	Hypomethylated	0	0	0
Apln	chrX	48025145	48034852	0.0596459799861925	4.69283268685759e-05	Hypermethylated	1	1	0
Srr	chr11	74906358	74925947	0.0249863982106219	4.6992676528422e-05	Hypermethylated	0	0	0
Cryz	chr3	154596710	154623181	-0.0167981777233572	4.70191076807811e-05	Hypomethylated	1	0	-1
Mamstr	chr7	45639976	45646520	0.0438517522041807	4.73144722880459e-05	Hypermethylated	0	0	0
Otud6b	chr4	14809497	14826586	0.0209031071182033	4.73796999748413e-05	Hypermethylated	0	0	0
Dapk3	chr10	81183004	81193196	0.0285143228699328	4.74212471294288e-05	Hypermethylated	0	0	0
5730409E04Rik	chr4	126609817	126614370	0.0661568021239899	4.76077774551009e-05	Hypermethylated	0	0	0
Arnt2	chr7	84246277	84410175	-0.00780263880090859	4.76140986027008e-05	Hypomethylated	1	1	0
Trim60	chr8	64999306	65018583	-0.0179143855154141	4.81269530022289e-05	Hypomethylated	0	0	0
Nol7	chr13	43398389	43407096	0.035337888550676	4.81269530022289e-05	Hypermethylated	0	0	0
Gm43720	chr5	138264951	138279957	-0.0291257869790761	4.83058790586224e-05	Hypomethylated	0	0	0
Naprt	chr15	75890955	75894480	-0.0599816732360042	4.83393598146426e-05	Hypomethylated	1	0	-1
Lrrc3	chr10	77897574	77902535	-0.0564826143963511	4.83655663496402e-05	Hypomethylated	2	1	-1
Ccdc88b	chr19	6844622	6858210	-0.034744852996253	4.86036246480195e-05	Hypomethylated	1	1	0
Cenpj	chr14	56526760	56575424	0.0151009271198482	4.87437324881693e-05	Hypermethylated	0	0	0
Slc50a1	chr3	89268245	89270569	0.0581568172079341	4.89041137976948e-05	Hypermethylated	0	0	0
Scara5	chr14	65666402	65764825	-0.0106384768512737	4.89176193460543e-05	Hypomethylated	0	0	0
Rnf150	chr8	82863355	83091267	-0.00715628961378523	4.92261528492826e-05	Hypomethylated	1	1	0
Gnl2	chr4	125016584	125055379	0.0166276747747165	4.92691702183312e-05	Hypermethylated	0	0	0
Vangl2	chr1	172000959	172028443	-0.0200524788450451	4.92849170091395e-05	Hypomethylated	0	1	1
Spata18	chr5	73651378	73679511	-0.0159478187118678	4.94633225654871e-05	Hypomethylated	2	2	0
Dnajb11	chr16	22857844	22879633	0.0180108529580246	4.9536739454772e-05	Hypermethylated	0	0	0
1700064H15Rik	chr3	19610367	19628676	0.0282296536377376	4.97058697941042e-05	Hypermethylated	0	0	0
Cdk12	chr11	98203058	98278503	0.015405300652743	4.97180484787956e-05	Hypermethylated	0	0	0
Alkbh1	chr12	87425839	87444016	0.0244407234219217	4.97908716855309e-05	Hypermethylated	0	0	0
Znhit6	chr3	145576204	145604794	0.0130965680861064	4.98234346459132e-05	Hypermethylated	0	0	0
Csnk1g1	chr9	65908923	66045014	0.0119046371762583	4.99939020034509e-05	Hypermethylated	0	0	0
Acacb	chr5	114146534	114250760	-0.00756459630760675	5.00593041472253e-05	Hypomethylated	0	0	0
Zcchc8	chr5	123698293	123721099	0.0207292892687282	5.00759728203369e-05	Hypermethylated	0	0	0
Mansc1	chr6	134609206	134632487	0.0200244663735586	5.01032289260366e-05	Hypermethylated	0	0	0
Gucy2e	chr11	69218116	69237035	-0.0260203461137659	5.0358227493914e-05	Hypomethylated	0	0	0
Il6ra	chr3	89864058	89913195	-0.0158107996273986	5.04087298819593e-05	Hypomethylated	2	1	-1
Wdr74	chr19	8735826	8740623	0.0448670152800925	5.04087298819593e-05	Hypermethylated	0	0	0
Adamts9	chr6	92772698	92943491	-0.00749478455568386	5.04105930322776e-05	Hypomethylated	1	2	1
Asxl3	chr18	22344245	22530226	-0.00842614692009036	5.05715801742811e-05	Hypomethylated	0	2	2
Mal	chr2	127633225	127656694	-0.0254358643445513	5.09822212720991e-05	Hypomethylated	1	1	0
Git1	chr11	77493561	77507785	0.0376078518593342	5.14571955262641e-05	Hypermethylated	0	0	0
Ramac	chr7	81762924	81769490	0.0544838552995955	5.15644969747906e-05	Hypermethylated	0	0	0
Gnpda1	chr18	38327534	38339002	0.0272353075859026	5.16373918889359e-05	Hypermethylated	0	1	1
Senp1	chr15	98038743	98093743	0.0118780580772623	5.16997195970426e-05	Hypermethylated	0	0	0
Grb7	chr11	98446393	98455372	0.0365145072432445	5.17659914879256e-05	Hypermethylated	0	0	0
Ess2	chr16	17900708	17911347	0.0285826119121448	5.18678950863261e-05	Hypermethylated	0	0	0
Hapln4	chr8	70083456	70090861	-0.0436773041907595	5.21142044935828e-05	Hypomethylated	1	1	0
Sphk1	chr11	116530924	116536674	-0.0477816350510561	5.2376176688255e-05	Hypomethylated	1	1	0
Gata3	chr2	9857077	9890033	-0.0174315790297232	5.23825638643982e-05	Hypomethylated	2	1	-1
Uckl1	chr2	181569148	181584891	0.0321993948221591	5.23825638643982e-05	Hypermethylated	0	0	0
4930453N24Rik	chr16	64751750	64771160	0.0271276459229466	5.23825638643982e-05	Hypermethylated	1	1	0
Mrpl43	chr19	45004828	45006441	0.0921266654052662	5.23825638643982e-05	Hypermethylated	0	0	0
Fgfr4	chr13	55152639	55168758	-0.0240448592910745	5.24977312050636e-05	Hypomethylated	1	0	-1
Pi16	chr17	29317679	29330592	-0.0271143169943402	5.2535541645463e-05	Hypomethylated	1	1	0
Cldn12	chr5	5489536	5514957	0.0206515384875511	5.26824394865422e-05	Hypermethylated	0	1	1
Foxc1	chr13	31806632	31812475	-0.0452535057894749	5.26824394865422e-05	Hypomethylated	4	6	2
Pitrm1	chr13	6548148	6580514	0.0121730854833085	5.27218154344802e-05	Hypermethylated	0	1	1
Snx22	chr9	66065175	66069718	-0.0581102296940962	5.27451594177774e-05	Hypomethylated	1	0	-1
Art5	chr7	102096878	102109488	-0.034412050943147	5.29183325263e-05	Hypomethylated	0	0	0
Angptl3	chr4	99030953	99046110	0.0239321899394198	5.29326761958297e-05	Hypermethylated	0	0	0
Psma7	chr2	180036373	180042432	0.039983531146123	5.30505306719518e-05	Hypermethylated	0	1	1
Srp9	chr1	182124736	182132406	0.0335356581853077	5.3811327116634e-05	Hypermethylated	5	5	0
Degs2	chr12	108678710	108702314	-0.0200801998124034	5.38625144389487e-05	Hypomethylated	0	0	0
Rnase13	chr14	51921361	51922772	-0.0929688841047746	5.38683408607279e-05	Hypomethylated	0	0	0
4933434E20Rik	chr3	90051635	90063340	0.0303851427239253	5.40360248950166e-05	Hypermethylated	0	0	0
Nt5dc1	chr10	34288287	34418551	0.00994220834844528	5.40439562985364e-05	Hypermethylated	0	0	0
Hdac3	chr18	37935843	37955015	0.0258852599274215	5.4559971554855e-05	Hypermethylated	0	1	1
Ccdc107	chr4	43492899	43495920	0.0396571032675178	5.4633260590562e-05	Hypermethylated	0	0	0
Supt16	chr14	52160413	52197415	0.0166148930123068	5.48547015119903e-05	Hypermethylated	0	0	0
Sirpb1b	chr3	15495750	15575064	-0.0142870994562178	5.49862535389775e-05	Hypomethylated	0	0	0
Itpr1	chr6	108213095	108551108	0.00495731598928217	5.50162526123544e-05	Hypermethylated	3	2	-1
Ankrd54	chr15	79053093	79062892	0.0299632561259164	5.50162526123544e-05	Hypermethylated	0	0	0
Aggf1	chr13	95350682	95375351	0.015591850951308	5.51177943113096e-05	Hypermethylated	0	0	0
Hes3	chr4	152285971	152291661	-0.0482522349879814	5.52227349131412e-05	Hypomethylated	2	2	0
Rad9b	chr5	122323222	122354232	0.0181229471971406	5.52700509119793e-05	Hypermethylated	1	0	-1
Tead2	chr7	45215752	45233643	-0.0238700546863606	5.52700509119793e-05	Hypomethylated	0	0	0
Zfp623	chr15	75940951	75949399	0.0283340123188788	5.55859942576136e-05	Hypermethylated	0	0	0
Metrnl	chr11	121701543	121716305	-0.0303638762284242	5.56336841866825e-05	Hypomethylated	1	1	0
Etnk2	chr1	133363571	133380335	-0.0267466198029453	5.59100004169431e-05	Hypomethylated	2	2	0
Atp1a2	chr1	172271708	172298063	-0.0181350390089147	5.59914334409891e-05	Hypomethylated	2	3	1
BC052040	chr2	115581715	115778767	-0.00626356605881695	5.66439310584608e-05	Hypomethylated	0	0	0
Tspyl1	chr10	34282189	34285274	0.0452926062993942	5.67334807348775e-05	Hypermethylated	0	0	0
Hdhd5	chr6	120509493	120531318	0.0207117840114204	5.68330917942996e-05	Hypermethylated	0	0	0
Gm13539	chr2	25782256	25787021	-0.0634364966649908	5.69798522533786e-05	Hypomethylated	0	0	0
Esf1	chr2	140119882	140170563	0.0143229896613282	5.72055880163764e-05	Hypermethylated	0	0	0
Gtf3c4	chr2	28822298	28840359	0.0289112300582759	5.7466295599042e-05	Hypermethylated	0	0	0
Fryl	chr5	73019986	73256618	0.00484616331628862	5.75696343107087e-05	Hypermethylated	2	2	0
Inhbe	chr10	127348856	127354410	-0.0407071485560043	5.76919819239256e-05	Hypomethylated	0	1	1
Taf1a	chr1	183388980	183410197	0.0174367907258673	5.78800742555416e-05	Hypermethylated	0	0	0
Syf2	chr4	134930897	134937547	0.0324215710234435	5.79039002894349e-05	Hypermethylated	1	1	0
Tmod4	chr3	95124475	95129208	0.0470627586802392	5.84602103839894e-05	Hypermethylated	0	0	0
Fbxo16	chr14	65266617	65323972	0.0119878658539743	5.91565166424818e-05	Hypermethylated	0	0	0
Nek8	chr11	78166105	78176674	-0.0292978251422467	5.92776926351652e-05	Hypomethylated	0	0	0
Sdhaf3	chr6	6956003	7042978	0.0108309062478572	5.93200442621291e-05	Hypermethylated	0	0	0
Cct8	chr16	87483325	87495872	0.0243595170461061	5.93208097715901e-05	Hypermethylated	0	0	0
Pbdc1	chrX	105079755	105117089	-0.0107756268786701	5.9371754540536e-05	Hypomethylated	0	0	0
Tagap1	chr17	6955010	6961155	0.0484287626215965	5.99421330931839e-05	Hypermethylated	4	4	0
Dbr1	chr9	99575798	99584500	0.0343532564383767	6.00054837888573e-05	Hypermethylated	0	0	0
Inf2	chr12	112588783	112615556	-0.0192743614850787	6.01277225472815e-05	Hypomethylated	8	4	-4
Traf3ip2	chr10	39612933	39655306	0.0165967932020641	6.01669806507114e-05	Hypermethylated	4	4	0
Fra10ac1	chr19	38188480	38224155	0.016168613992371	6.04514114616291e-05	Hypermethylated	0	2	2
Enpp2	chr15	54838900	54952891	-0.00878583116658882	6.05894324039558e-05	Hypomethylated	0	0	0
Ogfod1	chr8	94037197	94067920	0.0162300573266492	6.07040953728139e-05	Hypermethylated	0	0	0
Tspan3	chr9	56131724	56165476	0.0195848440302104	6.07892103763146e-05	Hypermethylated	0	1	1
Alkbh3	chr2	93980549	94010806	0.0170465146960954	6.07980997857494e-05	Hypermethylated	0	0	0
H3c4	chr13	23575762	23577010	-0.0717857317701008	6.08171524099704e-05	Hypomethylated	1	0	-1
Gm20431	chr2	167607849	167661495	0.0145621962999433	6.12838696981104e-05	Hypermethylated	0	0	0
