PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/Superenhancers_P60.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp
SE_12_052300843	chr14	55115398	55116398	+	0	NA	intron (NM_177049, intron 1 of 5)	intron (NM_177049, intron 1 of 5)	1037	NM_177049	319984		NM_177049	ENSMUSG00000022208	Jph4	9330157P13Rik|JP-4|JPHL1	junctophilin 4	protein-coding	1.425	1.276
SE_12_052300767	chr14	27355304	27356304	+	0	NA	intron (NM_001289687, intron 1 of 9)	intron (NM_001289687, intron 1 of 9)	-5585	NM_001289688	71704		NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|Xpln	Rho guanine nucleotide exchange factor 3	protein-coding	1.680	1.544
SE_12_052300782	chr11	114850984	114851984	+	0	NA	promoter-TSS (NM_147217)	promoter-TSS (NM_147217)	-48	NM_001110337	70355		NM_147217	ENSMUSG00000051043	Gprc5c	1110028I06Rik|3200002M13Rik|Raig3	G protein-coupled receptor, family C, group 5, member C	protein-coding	1.291	1.276
SE_12_052300777	chr7	16104123	16105123	+	0	NA	intron (NM_025898, intron 1 of 10)	intron (NM_025898, intron 1 of 10)	6043	NM_025898	108124		NM_025898	ENSMUSG00000006024	Napa	1500039N14Rik|RA81|SNAP-alpha|SNAPA|SNARE|a-SNAP|hyh	N-ethylmaleimide sensitive fusion protein attachment protein alpha	protein-coding	1.321	1.227
SE_12_052300331	chr6	122793292	122794292	+	0	NA	Intergenic	RMER4B|LTR|ERVK	-26392	NM_021899	60611		NM_021899	ENSMUSG00000003154	Foxj2	Fhx	forkhead box J2	protein-coding	1.259	1.119
SE_12_052300552	chr13	59649562	59650562	+	0	NA	intron (NM_027307, intron 5 of 10)	intron (NM_027307, intron 5 of 10)	25722	NM_027307	105348		NM_027307	ENSMUSG00000021556	Golm1	2310001L02Rik|D030064E01Rik|GP73|Golph2|PSEC0257	golgi membrane protein 1	protein-coding	1.678	1.619
SE_12_052300010	chr6	54099545	54100545	+	0	NA	intron (NM_001163640, intron 1 of 12)	intron (NM_001163640, intron 1 of 12)	60113	NM_001163640	69993		NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding	1.451	1.470
SE_12_052300822	chr2	3744404	3745404	+	0	NA	intron (NM_025626, intron 1 of 3)	intron (NM_025626, intron 1 of 3)	31446	NM_025626	66540		NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik	family with sequence similarity 107, member B	protein-coding	1.131	0.938
SE_12_052300192	chr4	59838713	59839713	+	0	NA	intron (NM_172468, intron 1 of 8)	MT2A|LTR|ERVL	33563	NM_172468	209131		NM_172468	ENSMUSG00000028385	Snx30	4732481H14Rik|C030041J06Rik	sorting nexin family member 30	protein-coding	1.234	1.086
SE_12_052300294	chr17	48560268	48561268	+	0	NA	Intergenic	Intergenic	105867	NM_152823	76589		NM_152823	ENSMUSG00000043592	Unc5cl	2510009H09Rik|Zud	unc-5 family C-terminal like	protein-coding	1.422	1.063
SE_12_052300047	chr9	121371516	121372516	+	0	NA	intron (NM_001357973, intron 1 of 5)	intron (NM_001357973, intron 1 of 5)	5058	NM_001357973	67095		NM_175114	ENSMUSG00000032536	Trak1	2310001H13Rik|hyrt|mKIAA1042	trafficking protein, kinesin binding 1	protein-coding	1.679	1.635
SE_12_052300957	chr9	13568170	13569170	+	0	NA	Intergenic	Intergenic	-51319	NM_001013813	270118		NM_173776	ENSMUSG00000031925	Maml2	5930431H10	mastermind like transcriptional coactivator 2	protein-coding	1.318	0.980
SE_12_052300613	chr4	149991919	149992919	+	0	NA	intron (NM_173371, intron 3 of 4)	intron (NM_173371, intron 3 of 4)	10817	NM_001291004	100198		NM_173371	ENSMUSG00000028980	H6pd	G6pd1|Gpd-1|Gpd1	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	protein-coding	1.551	1.496
SE_12_052300363	chr1	153676419	153677419	+	0	NA	intron (NM_026380, intron 5 of 6)	intron (NM_026380, intron 5 of 6)	11246	NM_001347115	67792		NM_026380	ENSMUSG00000042671	Rgs8	6530413N01Rik	regulator of G-protein signaling 8	protein-coding	1.564	1.531
SE_12_052300113	chr9	21764996	21765996	+	0	NA	Intergenic	B2_Mm1a|SINE|B2	-5193	NR_151672	67629		NM_026282	ENSMUSG00000074476	Spc24	2410030K01Rik|Spbc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	protein-coding	1.575	1.493
SE_12_052300373	chr9	58522821	58523821	+	0	NA	TTS (NM_133983)	TTS (NM_133983)	17619	NM_133983	102657		NM_133983	ENSMUSG00000035914	Cd276	6030411F23Rik|B7-H3|B7RP-2|B7h3	CD276 antigen	protein-coding	1.739	1.668
SE_12_052300014	chr19	6498399	6499399	+	0	NA	intron (NM_001369363, intron 17 of 22)	intron (NM_001369363, intron 17 of 22)	44171	NM_009203	20521		NM_009203	ENSMUSG00000061742	Slc22a12	OAT4L|Rst|Slc22al2|URAT1	solute carrier family 22 (organic anion/cation transporter), member 12	protein-coding	1.476	1.408
SE_12_052300692	chr4	149301732	149302732	+	0	NA	intron (NM_207682, intron 1 of 46)	intron (NM_207682, intron 1 of 46)	5466	NM_008441	16561		NM_008441	ENSMUSG00000063077	Kif1b	A530096N05Rik|D4Mil1e|KIF1Bp130|KIF1Bp204	kinesin family member 1B	protein-coding	1.406	1.385
SE_12_052300991	chr3	101804841	101805841	+	0	NA	Intergenic	Intergenic	30882	NM_172295	242125		NM_172295	ENSMUSG00000044313	Mab21l3	-	mab-21-like 3	protein-coding	1.721	1.608
SE_12_052300836	chr7	37340014	37341014	+	0	NA	Intergenic	Intergenic	-329285	NR_166497	67641		NR_166497	ENSMUSG00000093540	4930505M18Rik	-	RIKEN cDNA 4930505M18 gene	ncRNA	0.878	0.853
SE_12_052300290	chr16	31470026	31471026	+	0	NA	Intergenic	RMER17A2|LTR|ERVK	-40750	NR_152205	100047123		NR_152205	ENSMUSG00000086645	Gm15743	-	predicted gene 15743	ncRNA	1.522	1.533
SE_12_052300509	chr16	94301771	94302771	+	0	NA	intron (NM_139145, intron 1 of 10)	intron (NM_139145, intron 1 of 10)	11292	NM_139145	110948		NM_139145	ENSMUSG00000040820	Hlcs	410I21.SP6|D16Jhu34	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	protein-coding	1.667	1.620
SE_12_052300726	chr5	22129012	22130012	+	0	NA	intron (NM_001310464, intron 7 of 63)	intron (NM_001310464, intron 7 of 63)	215193	NM_011261	19699		NM_011261	ENSMUSG00000042453	Reln	reeler|rl	reelin	protein-coding	1.116	1.128
SE_12_052300917	chr10	79793845	79794845	+	0	NA	intron (NM_023128, intron 1 of 8)	intron (NM_023128, intron 1 of 8)	773	NM_001161747	18483		NM_023128	ENSMUSG00000035863	Palm	-	paralemmin	protein-coding	1.368	1.354
SE_12_052300653	chr10	21882877	21883877	+	0	NA	intron (NM_001161845, intron 1 of 13)	intron (NM_001161845, intron 1 of 13)	1193	NM_001161845	20393		NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding	1.576	1.515
SE_12_052301040	chr18	82540684	82541684	+	0	NA	intron (NM_001025245, intron 3 of 3)	intron (NM_001025245, intron 3 of 3)	-13279	NM_001025259	17196		NM_010777	ENSMUSG00000041607	Mbp	Hmbpr|golli-mbp|jve|mld|shi	myelin basic protein	protein-coding	1.630	1.639
SE_12_052300889	chr5	24610573	24611573	+	0	NA	Intergenic	B4|SINE|B4	-9071	NM_025891	66993		NM_025891	ENSMUSG00000028949	Smarcd3	1500001J14Rik|2210409C08Rik|BAF60C	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	protein-coding	1.514	1.577
SE_12_052301017	chr19	6944885	6945885	+	0	NA	intron (NM_007522, intron 2 of 3)	intron (NM_007522, intron 2 of 3)	2823	NM_001285453	12015		NM_007522	ENSMUSG00000024959	Bad	Bbc2	BCL2-associated agonist of cell death	protein-coding	1.566	1.510
SE_12_052300276	chr12	84842329	84843329	+	0	NA	intron (NM_001370743, intron 3 of 35)	intron (NM_001370743, intron 3 of 35)	-32973	NR_028577	100303738		NR_028577	ENSMUSG00000092130	D030025P21Rik	-	RIKEN cDNA D030025P21 gene	ncRNA	1.479	1.381
SE_12_052300304	chr14	52013070	52014070	+	0	NA	intron (NM_027248, intron 1 of 4)	(CA)n|Simple_repeat|Simple_repeat	988	NM_001253695	69890		NM_027248	ENSMUSG00000049295	Zfp219	2010302A17Rik|Znf219	zinc finger protein 219	protein-coding	1.486	1.353
SE_12_052300050	chr10	67063258	67064258	+	0	NA	intron (NM_178606, intron 1 of 7)	intron (NM_178606, intron 1 of 7)	33230	NM_178606	28193		NM_178606	ENSMUSG00000019873	Reep3	D10Ucla1	receptor accessory protein 3	protein-coding	1.765	1.765
SE_12_052300940	chr4	116141086	116142086	+	0	NA	intron (NM_026547, intron 1 of 1)	intron (NM_026547, intron 1 of 1)	3030	NM_026547	68075		NM_026547	ENSMUSG00000028701	Lurap1	1520402A15Rik|Lrp35a	leucine rich adaptor protein 1	protein-coding	1.464	1.409
SE_12_052300266	chr3	68597030	68598030	+	0	NA	intron (NM_001282044, intron 3 of 7)	intron (NM_001282044, intron 3 of 7)	25162	NM_013928	30953		NM_013928	ENSMUSG00000027777	Schip1	Nf2ip|Schip-1	schwannomin interacting protein 1	protein-coding	1.827	1.776
SE_12_052300241	chr18	32970945	32971945	+	0	NA	intron (NM_009793, intron 1 of 10)	intron (NM_009793, intron 1 of 10)	32404	NM_009793	12326		NM_009793	ENSMUSG00000038128	Camk4	A430110E23Rik|CaMKIV|CaMKIV/Gr|D18Bwg0362e	calcium/calmodulin-dependent protein kinase IV	protein-coding	1.652	1.469
SE_12_052300505	chr17	31417683	31418683	+	0	NA	intron (NM_008804, intron 3 of 18)	intron (NM_008804, intron 3 of 18)	31949	NM_001163748	18585		NM_008804	ENSMUSG00000041119	Pde9a	PDE9A1	phosphodiesterase 9A	protein-coding	1.625	1.588
SE_12_052301044	chr8	25534225	25535225	+	0	NA	intron (NM_001079909, intron 2 of 16)	CT-rich|Low_complexity|Low_complexity	15966	NM_001079909	14182		NM_010206	ENSMUSG00000031565	Fgfr1	Eask|FGFR-I|FLG|Fgfr-1|Flt-2|Fr1|Hspy|MFR|bFGF-R-1|c-fgr	fibroblast growth factor receptor 1	protein-coding	1.697	1.630
SE_12_052300885	chr11	95397424	95398424	+	0	NA	Intergenic	Intergenic	13068	NM_001357797	110172		NM_016752	ENSMUSG00000020873	Slc35b1	AXER|UGTrel1|Ugalt2	solute carrier family 35, member B1	protein-coding	1.266	1.243
SE_12_052300381	chr14	55880322	55881322	+	0	NA	3' UTR (NM_019820, exon 3 of 3)	3' UTR (NM_019820, exon 3 of 3)	3434	NM_019820	56410		NM_019820	ENSMUSG00000040380	Cbln3	-	cerebellin 3 precursor protein	protein-coding	1.505	1.377
SE_12_052300153	chr10	126969957	126970957	+	0	NA	Intergenic	Intergenic	-8260	NM_001113470	52468		NM_146012	ENSMUSG00000078429	Ctdsp2	D10Ertd73e|OS-4|OS4|SCP2	CTD small phosphatase 2	protein-coding	1.648	1.645
SE_12_052300300	chr5	88827617	88828617	+	0	NA	Intergenic	Arthur1|DNA|hAT-Tip100	-59143	NM_001359211	54403		NM_018760	ENSMUSG00000060961	Slc4a4	NBC|NBC1	solute carrier family 4 (anion exchanger), member 4	protein-coding	0.892	0.925
SE_12_052300054	chr9	91366807	91367807	+	0	NA	Intergenic	Intergenic	-1539	NM_009573	22771		NM_009573	ENSMUSG00000032368	Zic1	ZIC|ZNF201	zinc finger protein of the cerebellum 1	protein-coding	0.896	0.782
SE_12_052300732	chr11	101188958	101189958	+	0	NA	exon (NM_016782, exon 24 of 24)	exon (NM_016782, exon 24 of 24)	13341	NM_016782	53321		NM_016782	ENSMUSG00000017167	Cntnap1	Caspr|NCP1|Nrxn4|p190|shm	contactin associated protein-like 1	protein-coding	1.306	1.270
SE_12_052300944	chr12	29876530	29877530	+	0	NA	intron (NM_001361657, intron 18 of 24)	intron (NM_001361657, intron 18 of 24)	-61006	NM_181395	69675		NM_177804	ENSMUSG00000020674	Pxdn	2310075M15Rik|E330004E07|VPO1|mKIAA0230	peroxidasin	protein-coding	1.352	1.050
SE_12_052300524	chr15	78981843	78982843	+	0	NA	promoter-TSS (NM_001024716)	promoter-TSS (NM_001024716)	-713	NM_001024716	110253		NM_138579	ENSMUSG00000033088	Triobp	EST478828|Tara|mKIAA1662	TRIO and F-actin binding protein	protein-coding	1.512	1.492
SE_12_052300157	chr17	26611705	26612705	+	0	NA	intron (NM_026170, intron 2 of 9)	intron (NM_026170, intron 2 of 9)	50693	NM_026170	67458		NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment 1	protein-coding	1.540	1.439
SE_12_052300258	chr7	132276234	132277234	+	0	NA	intron (NM_029935, intron 1 of 7)	intron (NM_029935, intron 1 of 7)	-38930	NR_028578	100043682		NR_028578	ENSMUSG00000109270	Gm10584	-	predicted gene 10584	ncRNA	1.490	1.393
SE_12_052300992	chr12	108829938	108830938	+	0	NA	intron (NM_181328, intron 2 of 3)	intron (NM_181328, intron 2 of 3)	5438	NM_181328	214663		NM_181328	ENSMUSG00000021265	Slc25a29	C030003J19Rik|CACL|mCACL	solute carrier family 25 (mitochondrial carrier, palmitoylcarnitine transporter), member 29	protein-coding	1.585	1.484
SE_12_052300691	chr17	26039006	26040006	+	0	NA	intron (NM_001162868, intron 1 of 13)	B1_Mus1|SINE|Alu	-17646	NM_153140	215445		NM_153140	ENSMUSG00000037098	Rab11fip3	Cart1|D030060O14Rik|FIP3|Rab11-FIP3|mKIAA0665	RAB11 family interacting protein 3 (class II)	protein-coding	1.460	1.367
SE_12_052300329	chr9	44084249	44085249	+	0	NA	promoter-TSS (NM_198091)	promoter-TSS (NM_198091)	-171	NM_198091	53376		NM_016808	ENSMUSG00000032010	Usp2	B930035K21Rik|Ubp41	ubiquitin specific peptidase 2	protein-coding	1.702	1.699
SE_12_052300191	chr4	53482610	53483610	+	0	NA	intron (NM_133891, intron 2 of 15)	intron (NM_133891, intron 2 of 15)	42694	NM_001374697	100434		NM_133891	ENSMUSG00000028412	Slc44a1	2210409B22Rik|4833416H08Rik|CHTL1|CTL1|Cdw92	solute carrier family 44, member 1	protein-coding	1.370	1.282
SE_12_052300520	chr15	39824021	39825021	+	0	NA	intron (NM_001164466, intron 6 of 9)	B1_Mus1|SINE|Alu	27476	NR_045788	100503072		NR_045788	ENSMUSG00000087695	Gm16291	-	predicted gene 16291	ncRNA	1.500	1.472
SE_12_052300821	chr1	86438421	86439421	+	0	NA	Intergenic	Intergenic	12592	NM_027966	71863		NM_027966	ENSMUSG00000036574	Tex44	1700019O17Rik	testis expressed 44	protein-coding	1.585	1.571
SE_12_052301013	chr4	65687090	65688090	+	0	NA	intron (NM_019514, intron 12 of 21)	intron (NM_019514, intron 12 of 21)	82604	NM_001161782	69807		NM_053084	ENSMUSG00000051675	Trim32	1810045E12Rik|3f3|BBS11|Zfp117	tripartite motif-containing 32	protein-coding	1.125	1.118
SE_12_052300086	chr8	11791522	11792522	+	0	NA	intron (NM_001372321, intron 6 of 21)	intron (NM_001372321, intron 6 of 21)	12738	NM_001372323	54126		NM_017402	ENSMUSG00000031511	Arhgef7	Cool|PIX|Pak3bp|beta-Pix|betaPix|betaPix-b|betaPix-c|cool-1|mKIAA0142|p85Cool1|p85SPR	Rho guanine nucleotide exchange factor	protein-coding	1.716	1.673
SE_12_052300913	chr11	58955297	58956297	+	0	NA	TTS (NM_178218)	TTS (NM_178218)	1112	NM_178218	319162		NM_178218	ENSMUSG00000078851	H2ac25	H2aw|Hist3h2a	H2A clustered histone 25	protein-coding	1.231	1.180
SE_12_052300657	chr10	126928644	126929644	+	0	NA	Intergenic	Intergenic	-27773	NM_001358969	68876		NM_026858	ENSMUSG00000025436	Atp23	1110068E08Rik|2410012H02Rik|Xrcc6bp1	ATP23 metallopeptidase and ATP synthase assembly factor homolog	protein-coding	1.650	1.648
SE_12_052300325	chr14	70556561	70557561	+	0	NA	intron (NM_021877, intron 3 of 19)	intron (NM_021877, intron 3 of 19)	2827	NM_001379479	15460		NM_021877	ENSMUSG00000022096	Hr	ALUNC|bldy|hr|rh-bmh	lysine demethylase and nuclear receptor corepressor	protein-coding	1.448	1.320
SE_12_052300140	chr2	152794100	152795100	+	0	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	-7861	NR_166047	102634681		NR_166047		Gm32211	-	predicted gene, 32211	pseudo	1.698	1.685
SE_12_052300039	chr7	112254546	112255546	+	0	NA	intron (NM_177282, intron 2 of 19)	(TGAA)n|Simple_repeat|Simple_repeat	29210	NM_177282	320878		NM_177282	ENSMUSG00000038244	Mical2	4921517J23Rik|5330438E18Rik|9530064J02|MICAL-2|Micalcl|mKIAA0750	microtubule associated monooxygenase, calponin and LIM domain containing 2	protein-coding	1.503	1.446
SE_12_052300644	chr16	17499983	17500983	+	0	NA	intron (NM_175178, intron 6 of 20)	intron (NM_175178, intron 6 of 20)	-8200	NM_025808	66863		NM_025808	ENSMUSG00000022761	Lztr1	1200003E21Rik	leucine-zipper-like transcriptional regulator, 1	protein-coding	1.535	1.464
SE_12_052300731	chr12	26197345	26198345	+	0	NA	intron (NR_131149, intron 2 of 4)	intron (NR_131149, intron 2 of 4)	12660	NR_131149	629481		NR_131149	ENSMUSG00000113550	Gm29687	-	predicted gene, 29687	ncRNA	1.450	1.379
SE_12_052300377	chr9	41192367	41193367	+	0	NA	Intergenic	Intergenic	-13288	NR_040392	78500		NR_040392	ENSMUSG00000100837	1700063D05Rik	-	RIKEN cDNA 1700063D05 gene	ncRNA	1.563	1.538
SE_12_052300218	chr7	118256937	118257937	+	0	NA	Intergenic	RMER6A|LTR|ERVK	13530	NR_027879	67745		NM_183267	ENSMUSG00000055159	4930583K01Rik	-	RIKEN cDNA 4930583K01 gene	ncRNA	1.560	1.386
SE_12_052300117	chr1	153012039	153013039	+	0	NA	intron (NM_175460, intron 1 of 10)	intron (NM_175460, intron 1 of 10)	57438	NM_175460	226518		NM_175460	ENSMUSG00000042751	Nmnat2	D030041I09Rik|PNAT1|PNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding	1.538	1.510
SE_12_052300499	chr15	88564545	88565545	+	0	NA	Intergenic	Intergenic	-35257	NM_027306	70073		NM_027306	ENSMUSG00000054117	Zdhhc25	1700030J15Rik	zinc finger, DHHC domain containing 25	protein-coding	1.631	1.596
SE_12_052300382	chr5	110399194	110400194	+	0	NA	intron (NM_001142642, intron 4 of 18)	MTEb-int|LTR|ERVL-MaLR	-12567	NM_028596	381668		NM_028596	ENSMUSG00000043323	Fbrsl1	2410025L10Rik|Gm1049|Gm29766|mKIAA1545	fibrosin-like 1	protein-coding	1.384	1.385
SE_12_052300367	chr12	76811202	76812202	+	0	NA	intron (NM_134050, intron 1 of 6)	B1_Mur4|SINE|Alu	2154	NM_001347405	104886		NM_134050	ENSMUSG00000021062	Rab15	2310012G06Rik	RAB15, member RAS oncogene family	protein-coding	1.514	1.451
SE_12_052300035	chr2	167466804	167467804	+	0	NA	intron (NM_001304540, intron 11 of 16)	intron (NM_001304540, intron 11 of 16)	-25341	NM_030743	81018		NM_030743	ENSMUSG00000006418	Rnf114	1110008J21Rik|Zfp228|Zfp313|Znf228	ring finger protein 114	protein-coding	1.617	1.568
SE_12_052300953	chr8	114506353	114507353	+	0	NA	intron (NM_019573, intron 5 of 8)	intron (NM_019573, intron 5 of 8)	67201	NM_019573	80707		NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding	1.217	1.043
SE_12_052300617	chr2	29886726	29887726	+	0	NA	Intergenic	B3|SINE|B2	-1788	NM_001355137	18286		NM_013615	ENSMUSG00000026790	Odf2	MMTEST29	outer dense fiber of sperm tails 2	protein-coding	1.507	1.392
SE_12_052300098	chr2	52529087	52530087	+	0	NA	intron (NM_001285428, intron 1 of 12)	intron (NM_001285428, intron 1 of 12)	29024	NM_001355059	12298		NM_146123	ENSMUSG00000017412	Cacnb4	3110038O15Rik|Cchb4|lh	calcium channel, voltage-dependent, beta 4 subunit	protein-coding	1.551	1.429
SE_12_052300043	chr9	34938736	34939736	+	0	NA	exon (NM_001190914, exon 4 of 17)	exon (NM_001190914, exon 4 of 17)	-177492	NR_029475	78934		NR_029475	ENSMUSG00000070315	4930581F22Rik	-	RIKEN cDNA 4930581F22 gene	ncRNA	1.511	1.344
SE_12_052300144	chr17	8548780	8549780	+	0	NA	intron (NM_001290707, intron 1 of 22)	B3|SINE|B2	22479	NM_001290707	23984		NM_011866	ENSMUSG00000023868	Pde10a	-	phosphodiesterase 10A	protein-coding	1.579	1.571
SE_12_052300242	chr15	89539232	89540232	+	0	NA	intron (NM_021423, intron 18 of 21)	intron (NM_021423, intron 18 of 21)	28473	NR_155423	102640064		NR_155423		Gm36221	-	predicted gene, 36221	ncRNA	1.556	1.447
SE_12_052300640	chr9	96707739	96708739	+	0	NA	intron (NM_001359959, intron 2 of 2)	intron (NM_001359959, intron 2 of 2)	11206	NM_001359960	245007		NM_175537	ENSMUSG00000040433	Zbtb38	A930014K01Rik|CIBZ	zinc finger and BTB domain containing 38	protein-coding	1.547	1.439
SE_12_052300495	chr5	147435950	147436950	+	0	NA	intron (NM_001359433, intron 1 of 19)	Lx8|LINE|L1	6294	NM_001359433	72587		NM_028291	ENSMUSG00000029647	Pan3	2700050F09Rik|A430027N15Rik	PAN3 poly(A) specific ribonuclease subunit	protein-coding	1.224	1.250
SE_12_052300438	chr1	132575928	132576928	+	0	NA	intron (NM_001160317, intron 25 of 27)	intron (NM_001160317, intron 25 of 27)	-33488	NM_177129	21367		NM_011531	ENSMUSG00000053024	Cntn2	D130012K04Rik|TAG-1|TAG1|Tax	contactin 2	protein-coding	1.322	1.235
SE_12_052300773	chr11	69096191	69097191	+	0	NA	Intergenic	Intergenic	-2258	NM_011065	18626		NM_011065	ENSMUSG00000020893	Per1	Hftm|Per|m-rigui|mPer1	period circadian clock 1	protein-coding	1.369	1.349
SE_12_052300810	chr13	76400900	76401900	+	0	NA	intron (NM_030174, intron 1 of 20)	L1_Mus1|LINE|L1	17261	NM_030174	78771		NM_030174	ENSMUSG00000021596	Mctp1	2810465F10Rik	multiple C2 domains, transmembrane 1	protein-coding	1.575	1.429
SE_12_052300511	chr2	138271996	138272996	+	0	NA	intron (NM_001025431, intron 1 of 4)	intron (NM_001025431, intron 1 of 4)	-5997	NM_145534	228662		NM_145534	ENSMUSG00000062098	Btbd3	mKIAA0952	BTB domain containing 3	protein-coding	0.742	0.735
SE_12_052300022	chr14	64149472	64150472	+	0	NA	intron (NM_001253712, intron 5 of 5)	intron (NM_001253712, intron 5 of 5)	33682	NR_167725	78569		NR_167725	ENSMUSG00000114284	9630015K15Rik	-	RIKEN cDNA 9630015K15 gene	ncRNA	1.361	1.115
SE_12_052300763	chr6	124856382	124857382	+	0	NA	intron (NR_163806, intron 1 of 14)	intron (NR_163806, intron 1 of 14)	835	NR_163804	14789		NM_013534	ENSMUSG00000023191	P3h3	Grcb|Leprel2	prolyl 3-hydroxylase 3	protein-coding	1.414	1.407
SE_12_052300847	chr9	107263847	107264847	+	0	NA	intron (NM_178907, intron 2 of 10)	intron (NM_178907, intron 2 of 10)	25049	NM_001316691	102626		NM_178907	ENSMUSG00000032577	Mapkapk3	3PK|MAPKAP-K3|MAPKAP3|MK-3|MK3|MapkKapk3	mitogen-activated protein kinase-activated protein kinase 3	protein-coding	1.665	1.622
SE_12_052300223	chr15	86089032	86090032	+	0	NA	intron (NM_001379572, intron 1 of 18)	intron (NM_001379572, intron 1 of 18)	30770	NM_001379572	223752		NM_172611	ENSMUSG00000035900	Gramd4	9930016O13	GRAM domain containing 4	protein-coding	1.657	1.666
SE_12_052300403	chr3	101581294	101582294	+	0	NA	exon (NM_144900, exon 17 of 23)	exon (NM_144900, exon 17 of 23)	22913	NM_144900	11928		NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	1.841	1.742
SE_12_052300496	chr18	13716458	13717458	+	0	NA	intron (NM_001360804, intron 6 of 7)	(TC)n|Simple_repeat|Simple_repeat	208567	NR_166721	102640755		NR_166720		Gm36747	-	predicted gene, 36747	ncRNA	1.705	1.604
SE_12_052300814	chr6	112932465	112933465	+	0	NA	intron (NM_080448, intron 1 of 21)	intron (NM_080448, intron 1 of 21)	14301	NM_080448	259302		NM_080448	ENSMUSG00000030257	Srgap3	Arhgap14|D130026O08Rik|Gbi|MEGAP|WRP|mKIAA0411	SLIT-ROBO Rho GTPase activating protein 3	protein-coding	1.622	1.567
SE_12_052300036	chr5	36901533	36902533	+	0	NA	intron (NM_001360003, intron 1 of 8)	intron (NM_001360003, intron 1 of 8)	-25154	NR_045505	71054		NR_045505	ENSMUSG00000087487	Ppp2r2cos	4933401P06Rik	protein phosphatase 2, regulatory subunit B, gamma, opposite strand	ncRNA	1.368	1.432
SE_12_052300460	chr11	6896089	6897089	+	0	NA	Intergenic	LTR37-int|LTR|ERV1	-166844	NM_009622	432530		NM_009622	ENSMUSG00000020431	Adcy1	AC1|D11Bwg1392e|I-AC|brl	adenylate cyclase 1	protein-coding	0.944	0.879
SE_12_052300089	chr14	63752625	63753625	+	0	NA	intron (NM_173393, intron 1 of 2)	MLT1A0|LTR|ERVL-MaLR	25936	NR_030611	100124452		NR_030611	ENSMUSG00000076049	Mir598	Mirn598|mir-598|mmu-mir-598	microRNA 598	ncRNA	1.576	1.413
SE_12_052300470	chr3	126637359	126638359	+	0	NA	intron (NM_001025438, intron 2 of 18)	L1Md_F2|LINE|L1	31084	NR_166466	102639086		NR_166466	ENSMUSG00000086679	Gm15551	-	predicted gene 15551	ncRNA	1.845	1.790
SE_12_052300551	chr9	107618244	107619244	+	0	NA	intron (NM_008138, intron 4 of 8)	intron (NM_008138, intron 4 of 8)	-9503	NM_001042779	20347		NM_009153	ENSMUSG00000057969	Sema3b	SemA|Semaa|sema5|semaV	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	protein-coding	1.592	1.522
SE_12_052300332	chr10	80667490	80668490	+	0	NA	exon (NM_021462, exon 12 of 14)	exon (NM_021462, exon 12 of 14)	8303	NM_021462	17347		NM_021462	ENSMUSG00000020190	Mknk2	2010016G11Rik|Gprk7|Mnk2	MAP kinase-interacting serine/threonine kinase 2	protein-coding	1.217	1.171
