PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
25533	chr16	9767721	9768721	+	30	NA	intron (NM_008170, intron 3 of 13)	ID4_|SINE|ID	227592	NM_008170	14811		NM_008170	ENSMUSG00000059003	Grin2a	GluN2A|GluRepsilon1|NMDAR2A|NR2A	glutamate receptor, ionotropic, NMDA2A (epsilon 1)	protein-coding	-1.827	-1.995
20937	chr4	137891207	137892207	+	30	NA	intron (NM_001369179, intron 1 of 18)	intron (NM_001369179, intron 1 of 18)	-21851	NM_001369177	230857		NM_199307	ENSMUSG00000057530	Ece1	ECE-1|ECE-1a|ECE-1b|ECE-1c1|ECE-1d	endothelin converting enzyme 1	protein-coding	-2.057	-2.130
17287	chr7	44496191	44497191	+	30	NA	promoter-TSS (NM_028169)	promoter-TSS (NM_028169)	96	NM_028169	75538		NM_028169	ENSMUSG00000051113	Garin5a	0610007G24Rik|1700021N13Rik|1700021P22Rik|Fam71e1|GARI-L5|GARIL5	golgi associated RAB2 interactor 5A	protein-coding	-1.448	-1.513
39411	chr9	34558520	34559520	+	30	NA	intron (NM_001190912, intron 1 of 15)	intron (NM_001190912, intron 1 of 15)	70289	NM_001190914	67703		NM_026324	ENSMUSG00000032036	Kirrel3	1500010O20Rik|2900036G11Rik|NEPH2|SST4|mKIAA1867	kirre like nephrin family adhesion molecule 3	protein-coding	-1.316	-1.469
25248	chr2	132143859	132144859	+	30	NA	intron (NM_001355430, intron 1 of 15)	intron (NM_001355430, intron 1 of 15)	749	NM_001355431	54338		NM_018824	ENSMUSG00000027340	Slc23a2	NBTL1|SVCT2|Slc23a1|YSPL2|YSPL3|mKIAA0238	solute carrier family 23 (nucleobase transporters), member 2	protein-coding	-0.382	-0.523
26063	chr10	59221691	59222691	+	30	NA	promoter-TSS (NM_001379065)	promoter-TSS (NM_001379065)	269	NM_172939	268301		NM_172939	ENSMUSG00000098188	Sowahc	4921515A04Rik|9430099J10Rik|Ankrd57|C820004L04Rik	sosondowah ankyrin repeat domain family member C	protein-coding	-0.050	-0.017
20767	chr4	131191672	131192672	+	30	NA	Intergenic	Intergenic	-181698	NR_130167	77835		NR_130167	ENSMUSG00000086262	A930031H19Rik	A930004I12Rik	RIKEN cDNA A930031H19 gene	ncRNA	-1.739	-1.954
35691	chr17	89654096	89655096	+	30	NA	Intergenic	Intergenic	275355	NR_045952	100043904		NR_045952	ENSMUSG00000117524	Gm4719	-	predicted gene 4719	ncRNA	-2.429	-2.520
24567	chr2	157204421	157205421	+	30	NA	promoter-TSS (NM_011249)	promoter-TSS (NM_011249)	-387	NM_001139516	19650		NM_011249	ENSMUSG00000027641	Rbl1	PRB1|p107	RB transcriptional corepressor like 1	protein-coding	-0.660	-0.810
27800-2	chr4	48279124	48280124	+	30	NA	promoter-TSS (NM_001355184)	promoter-TSS (NM_001355184)	11	NM_001355184	76299		NM_029572	ENSMUSG00000028343	Erp44	1110001E24Rik|Txndc4	endoplasmic reticulum protein 44	protein-coding	-0.517	-0.804
26642	chr4	148038015	148039015	+	30	NA	promoter-TSS (NM_010840)	promoter-TSS (NM_010840)	298	NM_011929	26372		NM_011929	ENSMUSG00000029016	Clcn6	Clc6	chloride channel, voltage-sensitive 6	protein-coding	0.004	-0.091
28789	chr2	129129473	129130473	+	30	NA	intron (NM_025395, intron 1 of 3)	intron (NM_025395, intron 1 of 3)	273	NM_025395	66170		NM_025395	ENSMUSG00000037938	Chchd5	1110027L01Rik	coiled-coil-helix-coiled-coil-helix domain containing 5	protein-coding	-0.929	-1.064
42337-2	chr18	80061281	80062281	+	30	NA	intron (NM_053117, intron 1 of 2)	intron (NM_053117, intron 1 of 2)	14886	NM_053117	93737		NM_053117	ENSMUSG00000056214	Pard6g	2410049N21Rik|Par6a	par-6 family cell polarity regulator gamma	protein-coding	-0.793	-1.041
35850	chr14	79106274	79107274	+	30	NA	intron (NM_027906, intron 37 of 44)	intron (NM_027906, intron 37 of 44)	92416	NR_152203	100043765		NR_152203	ENSMUSG00000115111	Gm4632	-	predicted gene 4632	ncRNA	-1.198	-1.254
18499-2	chr9	75511072	75512072	+	30	NA	intron (NM_001357828, intron 6 of 10)	intron (NM_001357828, intron 6 of 10)	42999	NM_001373998	666190		NM_001373998		Gm7972	EG666190	predicted gene 7972	protein-coding	-1.293	-1.353
17146	chr14	121719452	121720452	+	30	NA	intron (NM_134074, intron 1 of 52)	intron (NM_134074, intron 1 of 52)	18977	NM_001128307	105445		NM_134074	ENSMUSG00000025558	Dock9	B230309H04Rik|D14Wsu89e|Zizimin1|mKIAA1058	dedicator of cytokinesis 9	protein-coding	-2.001	-2.013
21584	chr15	64721460	64722460	+	30	NA	intron (NM_009623, intron 13 of 17)	intron (NM_009623, intron 13 of 17)	200336	NM_001331075	11514		NM_009623	ENSMUSG00000022376	Adcy8	AC8	adenylate cyclase 8	protein-coding	-0.764	-0.849
15978	chr11	87816973	87817973	+	30	NA	intron (NM_080420, intron 5 of 12)	intron (NM_080420, intron 5 of 12)	8641	NM_080420	76113		NM_080420	ENSMUSG00000009356	Lpo	5830499B15Rik	lactoperoxidase	protein-coding	-0.786	-0.771
30535-2	chr6	70871797	70872797	+	30	NA	intron (NM_010121, intron 2 of 16)	intron (NM_010121, intron 2 of 16)	27782	NM_001313918	13666		NM_010121	ENSMUSG00000031668	Eif2ak3	Pek|Perk	eukaryotic translation initiation factor 2 alpha kinase 3	protein-coding	0.018	-0.139
18411	chr9	42240572	42241572	+	30	NA	Intergenic	Intergenic	23228	NM_172769	235293		NM_172769	ENSMUSG00000032018	Sc5d	A830037K02|A830073K23Rik|Sc5dl	sterol-C5-desaturase	protein-coding	-1.498	-1.814
18317	chr17	36951125	36952125	+	30	NA	5' UTR (NM_029632, exon 1 of 3)	5' UTR (NM_029632, exon 1 of 3)	167	NM_029632	76497		NM_029632	ENSMUSG00000036398	Ppp1r11	1500041B02Rik|Hcgv|Tcte5|Tctex-5|Tctex5	protein phosphatase 1, regulatory inhibitor subunit 11	protein-coding	-0.252	-0.362
17111-2	chr3	88685243	88686243	+	30	NA	promoter-TSS (NR_151827)	promoter-TSS (NR_151827)	-44	NR_151825	74200		NM_028814	ENSMUSG00000028060	Khdc4	2810403A07Rik|A430106P18Rik|Blom7|Kiaa0907	KH domain containing 4, pre-mRNA splicing factor	protein-coding	-2.370	-2.572
17360	chr2	152695752	152696752	+	30	NA	intron (NM_001159551, intron 10 of 12)	intron (NM_001159551, intron 10 of 12)	9104	NM_025543	66405		NM_025543	ENSMUSG00000042814	Mcts2	2400002F11Rik|MCT-2	malignant T cell amplified sequence 2	protein-coding	-1.029	-1.211
16912	chr15	99449074	99450074	+	30	NA	intron (NM_001001884, intron 1 of 12)	intron (NM_001001884, intron 1 of 12)	8174	NM_001001884	380969		NM_001001884	ENSMUSG00000023009	Nckap5l	C230021P08Rik|Cep169	NCK-associated protein 5-like	protein-coding	-2.094	-2.188
17001-2	chr6	54554245	54555245	+	30	NA	intron (NM_027268, intron 1 of 7)	intron (NM_027268, intron 1 of 7)	11637	NM_027268	69938		NM_027268	ENSMUSG00000019124	Scrn1	2810019K23Rik|6330535A03Rik|SES1|mKIAA0193	secernin 1	protein-coding	-1.190	-1.145
27943-2	chr17	81617350	81618350	+	30	NA	intron (NM_011406, intron 2 of 10)	intron (NM_011406, intron 2 of 10)	120537	NR_104580	20541		NM_011406	ENSMUSG00000054640	Slc8a1	D930008O12Rik|Ncx1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein-coding	-1.213	-1.427
49843	chr2	33751798	33752798	+	30	NA	intron (NM_175184, intron 9 of 9)	intron (NM_175184, intron 9 of 9)	-53518	NR_045729	320482		NR_045729	ENSMUSG00000086484	Nron	A630071L07Rik|Gm24353	non-protein coding RNA, repressor of NFAT	ncRNA	-1.187	-1.258
22039-2	chr8	81014196	81015196	+	30	NA	5' UTR (NM_027554, exon 1 of 10)	5' UTR (NM_027554, exon 1 of 10)	210	NM_027554	74841		NM_027554	ENSMUSG00000038250	Usp38	4631402N15Rik|4833420O05Rik|mKIAA1891	ubiquitin specific peptidase 38	protein-coding	-1.011	-1.110
16203-6	chr9	62476919	62477919	+	30	NA	intron (NM_175484, intron 2 of 11)	intron (NM_175484, intron 2 of 11)	59625	NM_175484	235431		NM_175484	ENSMUSG00000041729	Coro2b	CLIPINC|E130012P22Rik	coronin, actin binding protein, 2B	protein-coding	-1.949	-2.319
37116	chr16	94526503	94527503	+	30	NA	promoter-TSS (NM_007834)	promoter-TSS (NM_007834)	-374	NM_007834	13185		NM_007834	ENSMUSG00000022898	Vps26c	Dcra|Dscr3	VPS26 endosomal protein sorting factor C	protein-coding	-2.374	-2.549
17794-2	chr6	47593453	47594453	+	30	NA	intron (NM_007971, intron 1 of 19)	intron (NM_007971, intron 1 of 19)	1077	NM_001146689	14056		NM_007971	ENSMUSG00000029687	Ezh2	Enx-1|Enx1h|KMT6|mKIAA4065	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein-coding	-0.565	-0.541
30928	chr17	90775315	90776315	+	30	NA	intron (NM_020252, intron 4 of 22)	intron (NM_020252, intron 4 of 22)	17661	NR_136930	102634634		NR_136930		Gm20491	-	enolase 1, alpha non-neuron pseudogene	pseudo	-2.137	-2.455
16211	chr14	8080109	8081109	+	30	NA	intron (NM_001348727, intron 1 of 5)	CpG	296	NM_001348727	109729085		NM_001348727	ENSMUSG00000023156	Htd2	-	hydroxyacyl-thioester dehydratase type 2	protein-coding	-0.334	-0.525
50687	chr4	98632354	98633354	+	30	NA	intron (NM_001005787, intron 5 of 15)	intron (NM_001005787, intron 5 of 15)	66289	NR_168468	102638614		NR_168468	ENSMUSG00000120805	Gm35137	-	predicted gene, 35137	ncRNA	-0.965	-0.975
26884-2	chr9	102183556	102184556	+	30	NA	intron (NM_173447, intron 3 of 15)	intron (NM_173447, intron 3 of 15)	120919	NR_106163	102466241		NR_106163	ENSMUSG00000098521	Mir7243	Gm27363|mmu-mir-7243	microRNA 7243	ncRNA	-1.717	-1.963
36448	chr1	131827880	131828880	+	30	NA	5' UTR (NM_173865, exon 1 of 11)	5' UTR (NM_173865, exon 1 of 11)	368	NM_173865	98396		NM_173865	ENSMUSG00000013275	Slc41a1	B230315F01Rik	solute carrier family 41, member 1	protein-coding	-0.587	-0.519
24973	chr9	106369209	106370209	+	30	NA	intron (NM_153459, intron 1 of 2)	intron (NM_153459, intron 1 of 2)	1077	NM_153459	235584		NM_153459	ENSMUSG00000053716	Dusp7	Mkpx|Pyst2	dual specificity phosphatase 7	protein-coding	-0.823	-0.913
16668	chr16	20651451	20652451	+	30	NA	intron (NM_134101, intron 1 of 20)	CpG	299	NR_027485	21762		NM_134101	ENSMUSG00000006998	Psmd2	9430095H01Rik|TEG-190|Tex190	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	protein-coding	-1.800	-1.780
35036-2	chr7	43488496	43489496	+	30	NA	intron (NM_001164518, intron 1 of 7)	intron (NM_001164518, intron 1 of 7)	1215	NM_001164518	210094		NM_001164518	ENSMUSG00000013367	Iglon5	A230106M20Rik|Gm1431	IgLON family member 5	protein-coding	0.130	0.084
15848-2	chr5	69326301	69327301	+	30	NA	intron (NM_175519, intron 1 of 1)	intron (NM_175519, intron 1 of 1)	14908	NM_175519	243043		NM_175519	ENSMUSG00000037653	Kctd8	A730087N02Rik	potassium channel tetramerisation domain containing 8	protein-coding	-1.732	-1.606
44795	chr11	3912845	3913845	+	30	NA	5' UTR (NM_153142, exon 1 of 2)	5' UTR (NM_153142, exon 1 of 2)	1319	NM_153142	103710		NM_153142	ENSMUSG00000048807	Slc35e4	A330108F03Rik	solute carrier family 35, member E4	protein-coding	-1.664	-1.837
46245	chr2	25563585	25564585	+	30	NA	intron (NM_001081199, intron 27 of 28)	intron (NM_001081199, intron 27 of 28)	6238	NM_021519	59022		NM_021519	ENSMUSG00000015092	Edf1	0610008L11Rik|MBF1	endothelial differentiation-related factor 1	protein-coding	-1.558	-1.616
18426-2	chr9	62461121	62462121	+	30	NA	intron (NM_175484, intron 2 of 11)	intron (NM_175484, intron 2 of 11)	75423	NM_175484	235431		NM_175484	ENSMUSG00000041729	Coro2b	CLIPINC|E130012P22Rik	coronin, actin binding protein, 2B	protein-coding	-1.992	-2.273
30686	chr6	55434920	55435920	+	30	NA	Intergenic	Intergenic	-16558	NM_001025372	11517		NM_007407	ENSMUSG00000029778	Adcyap1r1	2900024I10Rik|PAC1|PAC1R|PACAP1-R	adenylate cyclase activating polypeptide 1 receptor 1	protein-coding	-0.530	-0.703
21642	chr17	27678872	27679872	+	30	NA	intron (NM_001286744, intron 1 of 9)	intron (NM_001286744, intron 1 of 9)	-5867	NM_178365	23969		NM_011861	ENSMUSG00000040276	Pacsin1	A830061D09Rik|H74|mKIAA1379|syndapin	protein kinase C and casein kinase substrate in neurons 1	protein-coding	-3.363	-3.633
39779	chr11	75652324	75653324	+	30	NA	intron (NM_001080774, intron 1 of 31)	intron (NM_001080774, intron 1 of 31)	674	NM_001080774	17913		NM_008659	ENSMUSG00000017774	Myo1c	MMIb|MYO1E|NMI|mm1beta|myr2	myosin IC	protein-coding	-1.579	-1.532
28842-2	chr8	127295716	127296716	+	30	NA	intron (NM_001363431, intron 3 of 24)	intron (NM_001363431, intron 3 of 24)	-3396	NM_001013580	93742		NM_033620	ENSMUSG00000025812	Pard3	Asip|D8Ertd580e|Par-3|Par3|Pard-3|Pard3a|Phip	par-3 family cell polarity regulator	protein-coding	-0.509	-0.921
27666	chr18	67723897	67724897	+	30	NA	intron (NM_008977, intron 1 of 9)	CpG	224	NM_001127177	19255		NM_008977	ENSMUSG00000024539	Ptpn2	Ptpt|TC-PTP	protein tyrosine phosphatase, non-receptor type 2	protein-coding	-1.195	-1.285
25116	chr5	88722361	88723361	+	30	NA	intron (NM_026735, intron 1 of 5)	intron (NM_026735, intron 1 of 5)	1990	NM_026735	68473		NM_026735	ENSMUSG00000006262	Mob1b	1110003E08Rik|B230364F10|Mobkl1a	MOB kinase activator 1B	protein-coding	-0.634	-0.590
28999	chr11	76373052	76374052	+	30	NA	intron (NM_008750, intron 1 of 7)	intron (NM_008750, intron 1 of 7)	25589	NM_008750	18230		NM_008750	ENSMUSG00000020844	Nxn	l11Jus13	nucleoredoxin	protein-coding	-1.688	-1.638
17268	chr6	6115440	6116440	+	30	NA	intron (NM_001177572, intron 6 of 17)	intron (NM_001177572, intron 6 of 17)	101233	NM_015829	50799		NM_015829	ENSMUSG00000015112	Slc25a13	Ctrn	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	protein-coding	-0.998	-0.821
20495	chr6	72100875	72101875	+	30	NA	intron (NM_011375, intron 1 of 6)	intron (NM_011375, intron 1 of 6)	3767	NM_011375	20454		NM_011375	ENSMUSG00000056091	St3gal5	3S-T|Siat9|[a]2	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	protein-coding	-1.247	-1.215
56356	chr19	47179082	47180082	+	30	NA	intron (NM_021360, intron 1 of 5)	CpG	762	NM_021360	18011		NM_021360	ENSMUSG00000006435	Neurl1a	2410129E16Rik|Neu1|Neur1|Neurl|Neurl1|Nlz|Rnf67	neuralized E3 ubiquitin protein ligase 1A	protein-coding	-1.797	-1.845
22051-2	chr7	92125722	92126722	+	30	NA	intron (NM_011807, intron 12 of 22)	intron (NM_011807, intron 12 of 22)	-6711	NR_131016	75845		NR_131016	ENSMUSG00000109382	4930567K12Rik	Gm45128	RIKEN cDNA 4930567K12 gene	ncRNA	-1.936	-1.645
22474-2	chr6	137633210	137634210	+	30	NA	intron (NM_007945, intron 1 of 21)	intron (NM_007945, intron 1 of 21)	15575	NM_007945	13860		NM_007945	ENSMUSG00000015766	Eps8	-	epidermal growth factor receptor pathway substrate 8	protein-coding	-0.219	-0.576
16362-2	chr16	37337839	37338839	+	30	NA	intron (NM_001114612, intron 3 of 26)	intron (NM_001114612, intron 3 of 26)	46619	NM_001114613	207227		NM_172440	ENSMUSG00000022829	Stxbp5l	9430094L02|A830015P08Rik|LLGL4|T2dm1|t2md1|tomosyn-2	syntaxin binding protein 5-like	protein-coding	-1.723	-1.682
30995	chr2	112454655	112455655	+	30	NA	exon (NM_133749, exon 1 of 5)	exon (NM_133749, exon 1 of 5)	130	NM_133749	73024		NM_133749	ENSMUSG00000055943	Emc7	2900064A13Rik|ORF3|c11orf3	ER membrane protein complex subunit 7	protein-coding	-0.137	-0.204
59598	chr11	33203127	33204127	+	30	NA	promoter-TSS (NM_019916)	promoter-TSS (NM_019916)	-39	NM_019916	27140		NM_019916	ENSMUSG00000040610	Tlx3	Hox11l2|Rnx|Tlx1l2	T cell leukemia, homeobox 3	protein-coding	-0.990	-0.985
23754	chr5	117115262	117116262	+	30	NA	exon (NM_178622, exon 1 of 12)	exon (NM_178622, exon 1 of 12)	231	NM_178622	71954		NM_178622	ENSMUSG00000066900	Suds3	2400003N08Rik|2410008L21Rik|mSds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein-coding	-1.895	-1.953
17818-4	chr7	64640640	64641640	+	30	NA	intron (NM_001291166, intron 3 of 14)	intron (NM_001291166, intron 3 of 14)	139002	NM_001291166	11784		NM_007461	ENSMUSG00000030519	Apba2	X11-like|X11L|XllL|mXllL	amyloid beta precursor protein binding family A member 2	protein-coding	-1.442	-1.549
21810-2	chr5	35129254	35130254	+	30	NA	Intergenic	Intergenic	-24055	NM_013587	16976		NM_013587	ENSMUSG00000029103	Lrpap1	HBP44|RAP	low density lipoprotein receptor-related protein associated protein 1	protein-coding	-1.337	-1.534
37991	chr2	161108066	161109066	+	30	NA	intron (NM_173368, intron 1 of 36)	CpG	520	NM_173368	71389		NM_173368	ENSMUSG00000057133	Chd6	5430439G14Rik|6330406J24Rik|CHD-6	chromodomain helicase DNA binding protein 6	protein-coding	-0.271	-0.577
24796-3	chr15	80287300	80288300	+	30	NA	intron (NM_001044308, intron 1 of 36)	CpG	562	NM_001044308	239556		NM_001044308	ENSMUSG00000022416	Cacna1i	Ca(V)3.3	calcium channel, voltage-dependent, alpha 1I subunit	protein-coding	-2.978	-3.170
35954	chr13	83660913	83661913	+	30	NA	intron (NM_001347580, intron 10 of 10)	intron (NM_001347580, intron 10 of 10)	-59968	NR_152244	320203		NM_177100	ENSMUSG00000050334	Mir9-2hg	2810449C10Rik|C130071C03Rik|ECONEXIN|EyeLinc1|Visc-1	Mir9-2 host gene	ncRNA	-2.290	-1.770
16992	chr16	5070366	5071366	+	30	NA	intron (NM_001356320, intron 8 of 16)	intron (NM_001356320, intron 8 of 16)	20809	NM_001356320	170644		NM_026666	ENSMUSG00000039473	Ubn1	1110029L11Rik|2610108L02Rik	ubinuclein 1	protein-coding	-1.303	-1.363
16897-2	chr4_JH584294_random	152156	153156	+	30	NA	Intergenic	Intergenic	-30868	NM_001193667										
27086-2	chr16	6383042	6384042	+	30	NA	intron (NM_001359725, intron 2 of 16)	intron (NM_001359725, intron 2 of 16)	407955	NR_045799	68238		NR_045799	ENSMUSG00000101481	1700123O21Rik	-	RIKEN cDNA 1700123O21 gene	ncRNA	-2.272	-2.480
19958-2	chr9	13509173	13510173	+	30	NA	Intergenic	Intergenic	78312	NR_028271	18689		NM_008835	ENSMUSG00000031802	Phxr4	Sp5	per-hexamer repeat gene 4	ncRNA	-0.911	-1.012
16741	chr10	79801862	79802862	+	30	NA	intron (NM_023128, intron 1 of 8)	intron (NM_023128, intron 1 of 8)	8790	NM_001161747	18483		NM_023128	ENSMUSG00000035863	Palm	-	paralemmin	protein-coding	-1.533	-1.662
67028	chr5	36921700	36922700	+	30	NA	intron (NM_001360003, intron 1 of 8)	intron (NM_001360003, intron 1 of 8)	-45321	NR_045505	71054		NR_045505	ENSMUSG00000087487	Ppp2r2cos	4933401P06Rik	protein phosphatase 2, regulatory subunit B, gamma, opposite strand	ncRNA	-1.219	-1.449
33403	chr8	70551635	70552635	+	30	NA	intron (NM_007924, intron 1 of 11)	intron (NM_007924, intron 1 of 11)	12460	NM_007924	13716		NM_007924	ENSMUSG00000070002	Ell	Ell1|Men	elongation factor RNA polymerase II	protein-coding	-1.544	-1.684
22321	chr15	31998897	31999897	+	30	NA	Intergenic	Intergenic	-177892	NM_020503	57254		NM_020503	ENSMUSG00000045267	Tas2r119	T2r19|Tas2r19|mGR19|mt2r19	taste receptor, type 2, member 119	protein-coding	-1.424	-1.348
28649	chr16	37472117	37473117	+	30	NA	Intergenic	Intergenic	67172	NM_001355727	74197		NM_028812	ENSMUSG00000022828	Gtf2e1	2610024P03Rik|56kDa|FE|TFIIE-A	general transcription factor II E, polypeptide 1 (alpha subunit)	protein-coding	-1.667	-1.624
21677	chr15	95156871	95157871	+	30	NA	Intergenic	Intergenic	-8053	NR_015482	100043315		NR_015482	ENSMUSG00000100603	LOC100043315	-	uncharacterized LOC100043315	ncRNA	-1.467	-1.353
27576	chr1	22585756	22586756	+	30	NA	intron (NM_183018, intron 5 of 30)	intron (NM_183018, intron 5 of 30)	219902	NM_053270	116837		NM_053270	ENSMUSG00000041670	Rims1	C030033M19Rik|RIM1|RIM1a|RIM1alpha|Rab3ip1|Rim|Serg1	regulating synaptic membrane exocytosis 1	protein-coding	-1.745	-1.645
18553	chr15	76899960	76900960	+	30	NA	exon (NM_025536, exon 2 of 2)	exon (NM_025536, exon 2 of 2)	519	NM_025536	66398		NM_025536	ENSMUSG00000055041	Commd5	2310065H03Rik|D15Ertd81e|Hcarg	COMM domain containing 5	protein-coding	-1.828	-1.927
21436	chr18	48448253	48449253	+	30	NA	Intergenic	Intergenic	403418	NM_001025388	433182		NM_001025388	ENSMUSG00000059040	Eno1b	EG433182|Eno-1|Eno1|Gm5506|NNE	enolase 1B, retrotransposed	protein-coding	-1.749	-1.726
20505	chr15	77953050	77954050	+	30	NA	intron (NM_001168260, intron 2 of 8)	intron (NM_001168260, intron 2 of 8)	3172	NM_001168260	239554		NM_001017983	ENSMUSG00000016552	Foxred2	A430097D04Rik|D15Bwg0759e|Gm304	FAD-dependent oxidoreductase domain containing 2	protein-coding	-1.602	-1.613
34819-2	chr15	76189548	76190548	+	30	NA	intron (NM_201394, intron 12 of 31)	intron (NM_201394, intron 12 of 31)	5662	NM_201394	18810		NM_011117	ENSMUSG00000022565	Plec	EBS1|PCN|PLTN|Plec1	plectin	protein-coding	-1.471	-1.504
72692	chr4	8725329	8726329	+	30	NA	non-coding (NR_166064, exon 1 of 2)	non-coding (NR_166064, exon 1 of 2)	8619	NR_166064	108168925		NR_166064		Gm46841	-	predicted gene, 46841	ncRNA	-1.486	-1.618
22169-2	chr4	149772861	149773861	+	30	NA	intron (NM_027460, intron 1 of 6)	intron (NM_027460, intron 1 of 6)	906	NM_027460	70556		NM_027460	ENSMUSG00000028982	Slc25a33	5730438N18Rik|Pnc1	solute carrier family 25, member 33	protein-coding	-1.583	-1.832
32844	chr15	75981116	75982116	+	30	NA	exon (NM_146059, exon 2 of 2)	exon (NM_146059, exon 2 of 2)	669	NM_001163518	223648		NM_146059	ENSMUSG00000098176	Ccdc166	2410075B13Rik	coiled-coil domain containing 166	protein-coding	-1.166	-1.210
38321	chr1	24586119	24587119	+	30	NA	intron (NM_007733, intron 1 of 50)	CpG	818	NM_007733	12823		NM_007733	ENSMUSG00000026141	Col19a1	-	collagen, type XIX, alpha 1	protein-coding	-1.330	-1.295
16350-2	chr8	124520291	124521291	+	30	NA	promoter-TSS (NM_029746)	promoter-TSS (NM_029746)	24	NM_029746	76332		NM_029746	ENSMUSG00000031979	Cog2	1190002B08Rik|2700012E02Rik|Ldlc	component of oligomeric golgi complex 2	protein-coding	-2.536	-2.550
44553	chr13	34874934	34875934	+	30	NA	promoter-TSS (NM_013830)	promoter-TSS (NM_013830)	-95	NR_165078	19134		NM_013830	ENSMUSG00000021413	Prpf4b	2610037H07|Prp4|Prp4k|Prpk|cbp143	pre-mRNA processing factor 4B	protein-coding	-0.703	-0.676
25218-2	chr2	179648342	179649342	+	30	NA	intron (NM_001316723, intron 2 of 5)	intron (NM_001316723, intron 2 of 5)	206411	NM_009867	12561		NM_009867	ENSMUSG00000000305	Cdh4	R-CAD|R-Cadh|Rcad	cadherin 4	protein-coding	-0.664	-0.863
20547	chr11	61619704	61620704	+	30	NA	Intergenic	Intergenic	-33117	NM_027817	71520		NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik	GRB2-related adaptor protein	protein-coding	-2.035	-2.004
23210	chr10	91082225	91083225	+	30	NA	promoter-TSS (NM_027078)	promoter-TSS (NM_027078)	18	NM_001042558	11783		NM_009684	ENSMUSG00000019979	Apaf1	6230400I06Rik|Apaf-1|Apaf1l|fog|mKIAA0413	apoptotic peptidase activating factor 1	protein-coding	-0.713	-0.807
26047	chr12	83424833	83425833	+	30	NA	intron (NM_058212, intron 1 of 8)	intron (NM_058212, intron 1 of 8)	62403	NM_058212	70127		NM_058212	ENSMUSG00000021221	Dpf3	2810403B03Rik|6530402L11Rik|BAF45C|CERD4|Gm18872|cer-d4	double PHD fingers 3	protein-coding	-2.243	-2.379
24758	chr4	8730163	8731163	+	30	NA	non-coding (NR_166064, exon 1 of 2)	non-coding (NR_166064, exon 1 of 2)	13453	NR_166064	108168925		NR_166064		Gm46841	-	predicted gene, 46841	ncRNA	-1.474	-1.605
36723	chr4	97772584	97773584	+	30	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-4542	NM_010905	18027		NM_010905	ENSMUSG00000028565	Nfia	1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A	nuclear factor I/A	protein-coding	-1.393	-1.385
28051	chr6	54059007	54060007	+	30	NA	intron (NM_001163640, intron 1 of 12)	intron (NM_001163640, intron 1 of 12)	19575	NM_001163640	69993		NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding	-1.712	-2.013
18174-2	chr14	13959549	13960549	+	30	NA	intron (NM_001359900, intron 1 of 8)	intron (NM_001359900, intron 1 of 8)	1264	NM_001359900	66231		NM_025435	ENSMUSG00000053453	Thoc7	Nif3l1bp1	THO complex 7	protein-coding	-1.057	-0.934
71012	chr9	96727938	96728938	+	30	NA	intron (NM_175537, intron 1 of 2)	intron (NM_175537, intron 1 of 2)	3237	NM_175537	245007		NM_175537	ENSMUSG00000040433	Zbtb38	A930014K01Rik|CIBZ	zinc finger and BTB domain containing 38	protein-coding	-0.968	-0.987
18361	chr7	30094709	30095709	+	30	NA	5' UTR (NM_011981, exon 1 of 3)	5' UTR (NM_011981, exon 1 of 3)	133	NM_011981	26466		NM_011981	ENSMUSG00000049421	Zfp260	Ozrf1|PEX1|Zfp63|Znf260	zinc finger protein 260	protein-coding	-1.201	-1.133
