PeakID (cmd=annotatePeaks.pl tss mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
NM_001270644	chr10	104159506	104160506	+	0	NA	promoter-TSS (NM_001270642).2	promoter-TSS (NM_001270642).2	0	NM_001270644	637578		NM_001270644	ENSMUSG00000095022	Alyreffm15	Gm20765	Aly/REF export factor family member 15	protein-coding		
NM_028547	chr11	91577055	91578055	-	0	NA	promoter-TSS (NM_028547)	promoter-TSS (NM_028547)	0	NM_028547	73470		NM_028547	ENSMUSG00000046755	Kif2b	1700063D03Rik	kinesin family member 2B	protein-coding	-0.381	-0.275
NR_045047	chr12	105336094	105337094	+	0	NA	promoter-TSS (NR_125773)	promoter-TSS (NR_125773)	0	NR_045047	69952		NM_001416144	ENSMUSG00000097929	Tunar	2810011L19Rik|BNLN|Tuna|pTUNAR	Tcl1 upstream neural differentiation associated RNA	protein-coding	-0.933	-0.927
NM_021354	chr11	60454091	60455091	+	0	NA	promoter-TSS (NM_021354)	promoter-TSS (NM_021354)	0	NM_021354	13495		NM_021354	ENSMUSG00000020537	Drg2	DRG-2	developmentally regulated GTP binding protein 2	protein-coding	-1.260	-1.092
NM_007534	chr9	89198773	89199773	+	0	NA	promoter-TSS (NM_007534)	promoter-TSS (NM_007534)	0	NM_007534	12045		NM_007534	ENSMUSG00000089929	Bcl2a1b	A1-b	B cell leukemia/lymphoma 2 related protein A1b	protein-coding	-0.336	-0.076
NM_031180	chr5	65347911	65348911	+	0	NA	promoter-TSS (NM_031180)	promoter-TSS (NM_031180)	0	NM_031180	83379		NM_031180	ENSMUSG00000029195	Klb	betaKlotho	klotho beta	protein-coding	-0.635	-0.529
NM_009812	chr1	58794874	58795874	+	0	NA	promoter-TSS (NM_009812)	promoter-TSS (NM_009812)	0	NM_009812	12370		NM_009812	ENSMUSG00000026029	Casp8	CASP-8|FLICE|MACH|Mch5	caspase 8	protein-coding	-0.500	-0.429
NM_001195033	chr12	70153631	70154631	+	0	NA	promoter-TSS (NM_001195033)	promoter-TSS (NM_001195033)	0	NM_001195033	100504285		NM_001195033	ENSMUSG00000090121	Abhd12b	Gm804	abhydrolase domain containing 12B	protein-coding	-1.145	-1.110
NM_001008428	chr9	109234254	109235254	-	0	NA	promoter-TSS (NM_001008428)	promoter-TSS (NM_001008428)	0	NM_001008428	434440		NM_001008428	ENSMUSG00000061701	Fbxw20	Fbxw12	F-box and WD-40 domain protein 20	protein-coding	0.244	0.354
NM_001360746	chr7	89403722	89404722	-	0	NA	promoter-TSS (NM_008055)	promoter-TSS (NM_008055)	0	NM_001360746	72759		NM_028343	ENSMUSG00000039428	Tmem135	2810439K08Rik|PMP52	transmembrane protein 135	protein-coding	-1.249	-1.163
NM_001110250-HOMER7	chrX	28607374	28608374	-	0	NA	promoter-TSS (NM_001109970)	promoter-TSS (NM_001109970)	0	NM_001110250	100039585		NM_001110250	ENSMUSG00000073245	Gm14819	-	predicted gene 14819	protein-coding		
NM_146556	chr10	129625559	129626559	-	0	NA	promoter-TSS (NM_146556)	promoter-TSS (NM_146556)	0	NM_146556	258549		NM_146556	ENSMUSG00000095002	Or6c66	MOR108-1|Olfr798	olfactory receptor family 6 subfamily C member 66	protein-coding	0.179	0.311
NM_028276	chrX	48256434	48257434	+	0	NA	promoter-TSS (NM_028276)	promoter-TSS (NM_028276)	0	NM_028276	72554		NM_028276	ENSMUSG00000063785	Utp14a	2700066J21Rik|JsdX|NY-CO-16|SDCCAG16|mKIAA0266	UTP14A small subunit processome component	protein-coding	-1.647	-1.375
NM_207162-HOMER2	chrY	64785790	64786790	-	0	NA	promoter-TSS (NM_207162).2	promoter-TSS (NM_207162).2	0	NM_207162	382133		NM_207162	ENSMUSG00000094575	Gm20738	-	predicted gene, 20738	protein-coding		
NM_001355002	chr6	51470752	51471752	+	0	NA	promoter-TSS (NM_001355002)	promoter-TSS (NM_001355002)	0	NM_001355002	12417		NM_007624	ENSMUSG00000029836	Cbx3	HP1g|M32	chromobox 3	protein-coding	-1.026	-0.798
NM_001355421	chr2	91710092	91711092	-	0	NA	promoter-TSS (NM_001355418)	promoter-TSS (NM_001355418)	0	NM_001355421	51897		NM_145528	ENSMUSG00000027244	Atg13	1110053A20Rik|D2Ertd391e|Harbi1	autophagy related 13	protein-coding	-1.678	-1.508
NR_033446	chr7	126695283	126696283	-	0	NA	promoter-TSS (NR_033446)	promoter-TSS (NR_033446)	0	NR_033446	75764		NM_029420	ENSMUSG00000059772	Slx1b	1110030E23Rik|2410170E21Rik|4833422P03Rik|Giyd1|Giyd2	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)	protein-coding	-2.042	-2.039
NM_172420	chr2	79707280	79708280	+	0	NA	promoter-TSS (NM_001290744)	promoter-TSS (NM_001290744)	0	NM_172420	75276		NM_172420	ENSMUSG00000034683	Ppp1r1c	4930565M23Rik|4930579P15Rik	protein phosphatase 1, regulatory inhibitor subunit 1C	protein-coding	-0.877	-0.626
NM_001130513	chrX	164138842	164139842	+	0	NA	promoter-TSS (NM_001130513)	promoter-TSS (NM_001130513)	0	NM_001130513	70008		NM_027286	ENSMUSG00000015405	Ace2	2010305L05Rik	angiotensin converting enzyme 2	protein-coding	-0.907	-0.817
NM_001252522	chr7	90129713	90130713	+	0	NA	promoter-TSS (NM_001252523)	promoter-TSS (NM_001252523)	0	NM_001252522	233489		NM_146194	ENSMUSG00000039361	Picalm	CALM|CLTH|PAP180|fit-1|fit1|mKIAA4114	phosphatidylinositol binding clathrin assembly protein	protein-coding	-1.752	-1.249
NM_011638	chr16	32608396	32609396	+	0	NA	promoter-TSS (NM_001357298)	promoter-TSS (NM_001357298)	0	NM_011638	22042		NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|CD71|E430033M20Rik|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding	-1.625	-1.710
NM_001330175	chr10	95323637	95324637	-	0	NA	promoter-TSS (NM_001330175)	promoter-TSS (NM_001330175)	0	NM_001330175	12905		NM_009950	ENSMUSG00000045867	Cradd	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain	protein-coding	-0.907	-0.860
NM_001256480	chr2	175737442	175738442	+	0	NA	promoter-TSS (NM_001256480)	promoter-TSS (NM_001256480)	0	NM_001256480	100043915		NM_001256480	ENSMUSG00000078897	Gm4724	-	predicted gene 4724	protein-coding		
NM_001079822	chr6	72788545	72789545	-	0	NA	promoter-TSS (NM_009332)	promoter-TSS (NM_009332)	0	NM_001079822	21415		NM_009332	ENSMUSG00000055799	Tcf7l1	Tcf-3|Tcf3|bHLHb21	transcription factor 7 like 1 (T cell specific, HMG box)	protein-coding	-0.147	-0.222
NM_001081658	chr1	63686427	63687427	-	0	NA	promoter-TSS (NM_001081658)	promoter-TSS (NM_001081658)	0	NM_001081658	241073		NM_001081658	ENSMUSG00000069085	Dytn	Gm215	dystrotelin	protein-coding	-1.205	-1.196
NM_001190437	chr5	135008652	135009652	+	0	NA	promoter-TSS (NM_145215)	promoter-TSS (NM_145215)	0	NM_001190437	68758		NM_145215	ENSMUSG00000040532	Abhd11	1110054D16Rik|A630008N09Rik|Wbscr21	abhydrolase domain containing 11	protein-coding	-0.824	-0.960
NR_131181	chr6	52158024	52159024	+	0	NA	promoter-TSS (NR_131181)	promoter-TSS (NR_131181)	0	NR_131181	105242658		NR_131181	ENSMUSG00000087658	Hotairm1	Gm15051|Hoxaas1	Hoxa transcript antisense RNA, myeloid-specific 1	ncRNA	-1.135	-0.767
NR_045373	chr18	14231806	14232806	+	0	NA	promoter-TSS (NR_045373)	promoter-TSS (NR_045373)	0	NR_045373	74529		NR_045373	ENSMUSG00000117633	8430422H06Rik	-	RIKEN cDNA 8430422H06 gene	ncRNA	-2.007	-1.781
NM_009814	chr3	102085915	102086915	+	0	NA	promoter-TSS (NM_009814)	promoter-TSS (NM_009814)	0	NM_009814	12373		NM_009814	ENSMUSG00000027861	Casq2	Csq2|ESTM52|cCSQ	calsequestrin 2	protein-coding	-0.833	-0.954
NM_001357673	chr3	154596697	154597697	+	0	NA	promoter-TSS (NM_001168358)	promoter-TSS (NM_001168358)	0	NM_001357673	12972		NM_009968	ENSMUSG00000028199	Cryz	Sez9	crystallin, zeta	protein-coding	-0.330	-0.364
NM_001356316	chr3	88579108	88580108	+	0	NA	promoter-TSS (NM_025448)	promoter-TSS (NM_025448)	0	NM_001356316	66256		NM_025448	ENSMUSG00000041355	Ssr2	1500032E05Rik|SSR-beta|TLAP|TRAPB|TRAPbeta	signal sequence receptor, beta	protein-coding	-2.401	-2.450
NM_001360580	chr7	84678896	84679896	-	0	NA	promoter-TSS (NM_001360580)	promoter-TSS (NM_001360580)	0	NM_001360580	65098		NM_022985	ENSMUSG00000030629	Zfand6	3110005P07Rik|Awp1|Za20d3	zinc finger, AN1-type domain 6	protein-coding	-0.114	0.261
NM_134126	chr17	25015586	25016586	+	0	NA	promoter-TSS (NM_134126)	promoter-TSS (NM_134126)	0	NM_134126	106633		NM_134126	ENSMUSG00000024169	Ift140	Tce5|Wdtc2|mKIAA0590	intraflagellar transport 140	protein-coding	-1.805	-1.671
NM_001354986	chr7	120981812	120982812	-	0	NA	promoter-TSS (NM_028955)	promoter-TSS (NM_028955)	0	NM_001354986	12585		NM_007672	ENSMUSG00000030878	Cdr2	-	cerebellar degeneration-related 2	protein-coding	-0.564	-0.382
NM_030714	chr10	127195209	127196209	-	0	NA	promoter-TSS (NM_030714)	promoter-TSS (NM_030714)	0	NM_030714	80904		NM_030714	ENSMUSG00000040415	Dtx3	Deltex3|mg310	deltex 3, E3 ubiquitin ligase	protein-coding	-1.907	-1.936
NM_007759	chr3	87948193	87949193	+	0	NA	promoter-TSS (NM_007759)	promoter-TSS (NM_007759)	0	NM_007759	12904		NM_007759	ENSMUSG00000004885	Crabp2	Crabp-2|CrabpII	cellular retinoic acid binding protein II	protein-coding	-1.204	-1.348
NM_001347262	chr4	155249466	155250466	+	0	NA	promoter-TSS (NM_001190445)	promoter-TSS (NM_001190445)	0	NM_001347262	67513		NM_001190445	ENSMUSG00000073684	Faap20	2610002J02Rik	Fanconi anemia core complex associated protein 20	protein-coding	-2.964	-2.589
NR_039536	chr2	32712472	32713472	-	0	NA	promoter-TSS (NR_037217)	promoter-TSS (NR_037217)	0	NR_039536	100628606		NR_039536	ENSMUSG00000105841	Mir3960	mmu-mir-3960	microRNA 3960	ncRNA	-1.980	-2.106
NM_001042752	chr9	59035941	59036941	-	0	NA	promoter-TSS (NM_001042752)	promoter-TSS (NM_001042752)	0	NM_001042752	18007		NM_008684	ENSMUSG00000032340	Neo1	2610028H22Rik|D930014N22Rik|Igdcc2	neogenin	protein-coding	-1.226	-1.297
NM_001347134	chr4	61227727	61228727	-	0	NA	promoter-TSS (NM_001347134)	promoter-TSS (NM_001347134)	0	NM_001347134	100039089		NM_001134674	ENSMUSG00000089873	Mup13	Gm13513|Gm2083|Mup11	major urinary protein 13	protein-coding	2.360	2.283
NM_001145968	chr9	86571553	86572553	+	0	NA	promoter-TSS (NM_027100)	promoter-TSS (NM_027100)	0	NM_001145968	69519		NM_027100	ENSMUSG00000032417	Rwdd2a	1700030C20Rik|Rwdd2	RWD domain containing 2A	protein-coding	-0.720	-0.623
NM_029121	chr17	86947387	86948387	-	0	NA	promoter-TSS (NM_029121)	promoter-TSS (NM_029121)	0	NM_029121	74915		NM_029121	ENSMUSG00000053375	Atp6v1e2	4930500C14Rik|Atp6e1|E1	ATPase, H+ transporting, lysosomal V1 subunit E2	protein-coding	-1.269	-1.484
NM_001008499	chr10	23959994	23960994	+	0	NA	promoter-TSS (NM_001008499)	promoter-TSS (NM_001008499)	0	NM_001008499	209513		NM_001008499	ENSMUSG00000069707	Taar4	Gm226|Ta2|taR-4	trace amine-associated receptor 4	protein-coding	-0.403	-0.271
NM_001301351	chr6	148895737	148896737	-	0	NA	promoter-TSS (NM_181541)	promoter-TSS (NM_181541)	0	NM_001301351	232560		NM_181541	ENSMUSG00000030309	Caprin2	Adir|C1qdc1|Eeg1|rng140	caprin family member 2	protein-coding	-0.687	-0.760
NM_001271415	chr6	72544037	72545037	+	0	NA	promoter-TSS (NM_001271415)	promoter-TSS (NM_001271415)	0	NM_001271415	12332		NM_007599	ENSMUSG00000056737	Capg	gCap39|mbh1	capping actin protein, gelsolin like	protein-coding	-0.687	-0.638
NR_035406-HOMER3	chr2	10500327	10501327	+	0	NA	promoter-TSS (NR_035408)	promoter-TSS (NR_035408)	0	NR_035406	735286		NR_035406	ENSMUSG00000119247	Mir467a-1	Mir467a|Mirn467|Mirn467a|Mirn467a-1|mir-467a-1|mmu-mir-467|mmu-mir-467a|mmu-mir-467a-1	microRNA 467a-1	ncRNA	-0.084	-0.032
NM_030712	chr9	123805977	123806977	+	0	NA	promoter-TSS (NM_030712)	promoter-TSS (NM_030712)	0	NM_030712	80901		NM_030712	ENSMUSG00000048521	Cxcr6	BONZO|STRL33	C-X-C motif chemokine receptor 6	protein-coding	-0.139	0.174
NR_167739	chr11	70754666	70755666	-	0	NA	promoter-TSS (NR_167738)	promoter-TSS (NR_167738)	0	NR_167739	102635935		NR_167738	ENSMUSG00000085502	Gm12320	-	predicted gene 12320	ncRNA	-1.296	-1.209
NM_001378801	chr8	70492648	70493648	+	0	NA	promoter-TSS (NM_018827)	promoter-TSS (NM_018827)	0	NM_001378801	12931		NM_018827	ENSMUSG00000007888	Crlf1	CLF-1|CRLM-3|CRLM3|NR6|NR6.1	cytokine receptor-like factor 1	protein-coding	-2.253	-2.314
NM_001081186	chr6	129512057	129513057	+	0	NA	promoter-TSS (NM_001081186)	promoter-TSS (NM_001081186)	0	NM_001081186	330428		NM_001081186	ENSMUSG00000030160	Tmem52b	D630042F21Rik	transmembrane protein 52B	protein-coding	0.253	0.306
NM_001368392	chr13	27780304	27781304	-	0	NA	promoter-TSS (NM_026206)	promoter-TSS (NM_026206)	0	NM_001368392	67505		NM_026206	ENSMUSG00000060738	Prl7c1	1600017N11Rik|Ghd20|PLP-O|Prlpo|Prplo	prolactin family 7, subfamily c, member 1	protein-coding	-1.020	-0.955
NM_010173	chr4	116017424	116018424	-	0	NA	promoter-TSS (NR_151700)	promoter-TSS (NR_151700)	0	NM_010173	14073		NM_010173	ENSMUSG00000034171	Faah	-	fatty acid amide hydrolase	protein-coding	-0.418	-0.420
NM_021458	chr14	65261963	65262963	-	0	NA	promoter-TSS (NM_021458)	promoter-TSS (NM_021458)	0	NM_021458	14365		NM_021458	ENSMUSG00000007989	Fzd3	D930050A07Rik|Fz3|fz-3|mFz3	frizzled class receptor 3	protein-coding	-1.047	-1.009
NM_007715	chr5	76304048	76305048	-	0	NA	promoter-TSS (NM_007715)	promoter-TSS (NM_007715)	0	NM_007715	12753		NM_007715	ENSMUSG00000029238	Clock	5330400M04Rik|KAT13D	clock circadian regulator	protein-coding	-0.409	-0.346
NM_001198789	chr9	72984876	72985876	-	0	NA	promoter-TSS (NM_001198789)	promoter-TSS (NM_001198789)	0	NM_001198789	546143		NM_001198789	ENSMUSG00000086158	Pierce2	Ccpg1os|EG546143|Gm5918	piercer of microtubule wall 2	protein-coding	-1.037	-0.990
NM_025387	chr13	41015750	41016750	+	0	NA	promoter-TSS (NM_001360770)	promoter-TSS (NM_001360770)	0	NM_025387	66154		NM_025387	ENSMUSG00000021361	Tmem14c	1110021D01Rik|HSPC194	transmembrane protein 14C	protein-coding	-0.099	-0.058
NM_025999	chr7	110843881	110844881	-	0	NA	promoter-TSS (NM_025999)	promoter-TSS (NM_025999)	0	NM_025999	67150		NM_025999	ENSMUSG00000030788	Rnf141	2610110L04Rik|ZFP36|ZNF230	ring finger protein 141	protein-coding	-0.991	-0.730
NR_040481	chr16	35508919	35509919	-	0	NA	promoter-TSS (NR_040481)	promoter-TSS (NR_040481)	0	NR_040481	69768		NR_040481	ENSMUSG00000099429	1600019K03Rik	-	RIKEN cDNA 1600019K03 gene	ncRNA	-0.993	-1.039
NM_008487	chr3	88620659	88621659	+	0	NA	promoter-TSS (NM_001198913)	promoter-TSS (NM_001198913)	0	NM_008487	16800		NM_008487	ENSMUSG00000028059	Arhgef2	GEF|GEF-H1|GEFH1|LFP40|Lbcl1|Lfc|P40|mKIAA0651	Rho/Rac guanine nucleotide exchange factor 2	protein-coding	-2.396	-2.279
NM_025401	chr9	20642836	20643836	+	0	NA	promoter-TSS (NM_025401)	promoter-TSS (NM_025401)	0	NM_025401	66177		NM_025401	ENSMUSG00000084786	Ubl5	1110030M22Rik|Ubl5a|beacon	ubiquitin-like 5	protein-coding	-0.316	-0.240
NM_001357396	chr18	12973960	12974960	+	0	NA	promoter-TSS (NM_001357396)	promoter-TSS (NM_001357396)	0	NM_001357396	16210		NM_008378	ENSMUSG00000024423	Impact	E430016J11Rik	impact, RWD domain protein	protein-coding	-1.237	-0.952
NM_001359953	chr14	21751052	21752052	+	0	NA	promoter-TSS (NM_001359953)	promoter-TSS (NM_001359953)	0	NM_001359953	67630		NM_026283	ENSMUSG00000021770	Samd8	1110053F04Rik|1700010P07Rik|SMSr	sterile alpha motif domain containing 8	protein-coding	-1.041	-1.012
NM_008301	chr12	76403870	76404870	+	0	NA	promoter-TSS (NM_008301)	promoter-TSS (NM_008301)	0	NM_008301	15512		NM_008301	ENSMUSG00000059970	Hspa2	70kDa|HSP70.2|HSP70A2|Hsp70-2	heat shock protein 2	protein-coding	-1.551	-1.343
NR_040307	chr19	57508566	57509566	+	0	NA	promoter-TSS (NR_040307)	promoter-TSS (NR_040307)	0	NR_040307	78073		NR_040306	ENSMUSG00000117655	6720468P15Rik	-	RIKEN cDNA 6720468P15 gene	ncRNA	-1.157	-1.198
NM_018830	chr19	32102640	32103640	-	0	NA	promoter-TSS (NM_018830)	promoter-TSS (NM_018830)	0	NM_018830	54447		NM_018830	ENSMUSG00000024887	Asah2	-	N-acylsphingosine amidohydrolase 2	protein-coding	-1.132	-1.029
NM_001357409	chr9	57147805	57148805	-	0	NA	promoter-TSS (NM_001357409)	promoter-TSS (NM_001357409)	0	NM_001357409	72774		NM_028347	ENSMUSG00000032298	Neil1	2810450N13Rik|NEH1|Nei1	nei endonuclease VIII-like 1 (E. coli)	protein-coding	-1.242	-1.283
NM_001347036	chr15	39943494	39944494	-	0	NA	promoter-TSS (NM_001347036)	promoter-TSS (NM_001347036)	0	NM_001347036	239393		NM_172814	ENSMUSG00000022305	Lrp12	C820005L12Rik|LRP-12	low density lipoprotein-related protein 12	protein-coding	-1.555	-1.388
NM_028791	chr17	29660095	29661095	+	0	NA	promoter-TSS (NM_028791)	promoter-TSS (NM_028791)	0	NM_028791	74157		NM_028791	ENSMUSG00000024019	Cmtr1	1300018I05Rik|Ftsjd2|MTr1	cap methyltransferase 1	protein-coding	-2.601	-2.900
NM_001310144	chr2	105675244	105676244	+	0	NA	promoter-TSS (NM_001244202)	promoter-TSS (NM_001244202)	0	NM_001310144	18508		NM_013627	ENSMUSG00000027168	Pax6	1500038E17Rik|AEY11|Dey|Gsfaey11|Pax-6|Sey	paired box 6	protein-coding	-1.365	-0.972
NM_001039139	chr14	20793588	20794588	-	0	NA	promoter-TSS (NR_153779)	promoter-TSS (NR_153779)	0	NM_001039139	12325		NM_178597	ENSMUSG00000021820	Camk2g	Camkg	calcium/calmodulin-dependent protein kinase II gamma	protein-coding	-1.218	-1.059
NM_001368270	chr1	153843641	153844641	-	0	NA	promoter-TSS (NM_001243223)	promoter-TSS (NM_001243223)	0	NM_001368270	240816		NM_001243223	ENSMUSG00000042641	Rgsl1	4930415K13Rik|Gm202|Rgsl2	regulator of G-protein signaling like 1	protein-coding	-0.613	-0.602
NM_001362732	chr2	119046619	119047619	+	0	NA	promoter-TSS (NM_001362732)	promoter-TSS (NM_001362732)	0	NM_001362732	76464		NM_029617	ENSMUSG00000027326	Knl1	2310043D08Rik|5730505K17Rik|Casc5	kinetochore scaffold 1	protein-coding	-0.778	-0.835
NM_001293652	chr6	88044770	88045770	-	0	NA	promoter-TSS (NM_009005)	promoter-TSS (NM_009005)	0	NM_001293652	19349		NM_009005	ENSMUSG00000079477	Rab7	Rab7a	RAB7, member RAS oncogene family	protein-coding	-0.904	-0.811
NM_001243001-HOMER4	chrX	4799911	4800911	+	0	NA	promoter-TSS (NM_001099643)	promoter-TSS (NM_001099643)	0	NM_001243001	100042168		NM_001243001	ENSMUSG00000078218	Btbd35f3	Gm3706	BTB domain containing 35, family member 3	protein-coding		
NM_181452	chr19	5729166	5730166	-	0	NA	promoter-TSS (NM_023166)	promoter-TSS (NM_023166)	0	NM_181452	17826		NM_023166	ENSMUSG00000024939	Fam89b	1110021A21Rik|MMTV|Mtvr2	family with sequence similarity 89, member B	protein-coding	-4.361	-4.526
NM_001083905	chr16	22917882	22918882	+	0	NA	promoter-TSS (NM_001083905)	promoter-TSS (NM_001083905)	0	NM_001083905	59083		NM_021564	ENSMUSG00000022871	Fetub	2310011O17Rik|D17980|Gugu	fetuin beta	protein-coding	-0.362	-0.269
NM_001361592	chr11	5761876	5762876	-	0	NA	promoter-TSS (NM_001361588)	promoter-TSS (NM_001361588)	0	NM_001361592	72046		NM_178623	ENSMUSG00000049680	Urgcp	2010005J08Rik|9130001I21Rik|Urg4|mKIAA1507	upregulator of cell proliferation	protein-coding	-2.062	-1.887
NR_034051	chr15	98519334	98520334	-	0	NA	promoter-TSS (NR_106171)	promoter-TSS (NR_106171)	0	NR_034051	100217417		NR_034051	ENSMUSG00002076288	Snora34	MBI-89	small nucleolar RNA, H/ACA box 34	snoRNA	-0.882	-0.718
NM_001081084	chr2	13491376	13492376	-	0	NA	promoter-TSS (NM_001081084)	promoter-TSS (NM_001081084)	0	NM_001081084	65969		NM_001081084	ENSMUSG00000026726	Cubn	D2Wsu88e	cubilin	protein-coding	-0.437	-0.379
NM_011118	chr13	12799579	12800579	-	0	NA	promoter-TSS (NM_011118)	promoter-TSS (NM_011118)	0	NM_011118	18812		NM_011118	ENSMUSG00000056457	Prl2c3	Ghd1|MRP-2|MRP-3|Mrpplf3|PLF-2|PLF-3|Plf2|Prl2c4|mrp/plf3	prolactin family 2, subfamily c, member 3	protein-coding	0.983	1.203
NM_001267703-HOMER4	chr4	42156250	42157250	+	0	NA	promoter-TSS (NM_001199960).2	promoter-TSS (NM_001199960).2	0	NM_001267703										
NM_001034899	chr1	177990935	177991935	+	0	NA	promoter-TSS (NM_001368822)	promoter-TSS (NM_001368822)	0	NM_001034899	545391		NM_001034899	ENSMUSG00000091476	Catspere2	Gm16432|Gm30473	cation channel sperm associated auxiliary subunit epsilon 2	protein-coding	-0.837	-0.764
NM_028096	chr1	37719311	37720311	-	0	NA	promoter-TSS (NM_028096)	promoter-TSS (NM_028096)	0	NM_028096	72097		NM_028096	ENSMUSG00000026090	Cracdl	2010300C02Rik	capping protein inhibiting regulator of actin like	protein-coding	-1.126	-0.985
NM_001376977	chr5	65483561	65484561	-	0	NA	promoter-TSS (NM_001376978)	promoter-TSS (NM_001376978)	0	NM_001376977	68552		NM_133697	ENSMUSG00000037822	Smim14	1110003E01Rik|1700127H04Rik|5430439C17Rik|MAd4	small integral membrane protein 14	protein-coding	-1.040	-0.832
NM_001163569	chr9	110476494	110477494	+	0	NA	promoter-TSS (NM_001163569)	promoter-TSS (NM_001163569)	0	NM_001163569	16578		NM_010628	ENSMUSG00000032489	Kif9	-	kinesin family member 9	protein-coding	-0.883	-0.829
NM_010956	chr11	6291097	6292097	+	0	NA	promoter-TSS (NM_001361903)	promoter-TSS (NM_001361903)	0	NM_010956	18293		NM_010956	ENSMUSG00000020456	Ogdh	2210403E04Rik|2210412K19Rik|E1o|OGDH-E1|d1401|mKIAA4192	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	protein-coding	-1.894	-1.686
NR_045596	chr16	5006816	5007816	+	0	NA	promoter-TSS (NM_001253803)	promoter-TSS (NM_001253803)	0	NR_045596	432995		NM_001253796	ENSMUSG00000096215	Smim22	EG432995|Gm5480	small integral membrane protein 22	protein-coding	-1.409	-1.404
NM_001110230	chr2	7080802	7081802	-	0	NA	promoter-TSS (NM_001110230)	promoter-TSS (NM_001110230)	0	NM_001110230	14007		NM_010160	ENSMUSG00000002107	Celf2	B230218O03|B230345P09Rik|CELF-2|CUG-BP2|Cugbp2|D230046B21Rik|Etr-3|Napor|Napor-2|mETR-3	CUGBP, Elav-like family member 2	protein-coding	-1.337	-1.291
NR_037294	chr8	84208407	84209407	-	0	NA	promoter-TSS (NR_037294)	promoter-TSS (NR_037294)	0	NR_037294	100526528		NR_037294	ENSMUSG00000105458	Mir3074-2	mir-3074-2|mmu-mir-3074-2	microRNA 3074-2	ncRNA	-1.944	-1.900
NM_133347	chr9	110115082	110116082	-	0	NA	promoter-TSS (NM_133347)	promoter-TSS (NM_133347)	0	NM_133347	72831		NM_133347	ENSMUSG00000032480	Dhx30	2810477H02Rik|C130058C04Rik|Ddx30|HELG|Ret-CoR	DExH-box helicase 30	protein-coding	-1.095	-1.042
NM_144832	chr11	121228809	121229809	-	0	NA	promoter-TSS (NM_001252550)	promoter-TSS (NM_001252550)	0	NM_144832	217370		NM_144832	ENSMUSG00000039294	Cybc1	-	cytochrome b 245 chaperone 1	protein-coding	-0.709	-0.542
NM_021284	chr6	145249731	145250731	-	0	NA	promoter-TSS (NM_021284)	promoter-TSS (NM_021284)	0	NM_021284	16653		NM_021284	ENSMUSG00000030265	Kras	K-Ras|K-Ras 2|K-ras|Ki-ras|Kras-2|Kras2|c-K-ras|c-Ki-ras|p21B|ras	Kirsten rat sarcoma viral oncogene homolog	protein-coding	-1.101	-1.021
NM_001362279	chr18	25753657	25754657	-	0	NA	promoter-TSS (NM_001362288)	promoter-TSS (NM_001362288)	0	NM_001362279	108013		NM_133195	ENSMUSG00000024268	Celf4	A230070D14Rik|BRUNOL-4|Brul4|Brunol4|C130060B05Rik	CUGBP, Elav-like family member 4	protein-coding	-1.662	-1.474
NM_001039478	chr3	106684487	106685487	+	0	NA	promoter-TSS (NM_001039478)	promoter-TSS (NM_001039478)	0	NM_001039478	321000		NM_028081	ENSMUSG00000056260	Lrif1	2010012G17Rik|4933421E11Rik	ligand dependent nuclear receptor interacting factor 1	protein-coding	-0.163	0.006
NR_130335-HOMER2	chr2	10481031	10482031	+	0	NA	promoter-TSS (NR_030470).4	promoter-TSS (NR_030470).4	0	NR_130335	100124668		NR_130335	ENSMUSG00000118762	Mir466c-2	Mirn466c-2|mmu-mir-466c-2	microRNA 466c-2	ncRNA	-0.038	-0.077
NM_001271566	chr5	106964061	106965061	+	0	NA	promoter-TSS (NM_001271566)	promoter-TSS (NM_001271566)	0	NM_001271566	12545		NM_009863	ENSMUSG00000029283	Cdc7	Cdc7l1|muCdc7	cell division cycle 7	protein-coding	-1.174	-1.236
