Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	Region_size	direction	direction_label	plot_label
chrX-18275000	chrX	18275000	18300000	Kdm6a	Intergenic	-0.124666666666667	0.479351675955932	0.574494316839175	25000	A_to_B_in_Mutant	More Inactive (A->B)	Kdm6a
chr5-47650000	chr5	47650000	47675000	Slit2	Intergenic	0.0116666666666669	0.612575904339695	0.694850388836705	25000	B_to_A_in_Mutant	More Active (B->A)	Slit2
chr7-98250000	chr7	98250000	98275000	Acer3	intron (NM_001360616, intron 2 of 9)	-0.0436666666666667	0.129067287911105	0.203102511745223	25000	A_to_B_in_Mutant	More Inactive (A->B)	Acer3
chr9-73700000	chr9	73700000	73725000	Unc13c	intron (NM_001081153, intron 9 of 31)	-0.145	0.00532703443841262	0.0185905951139633	25000	A_to_B_in_Mutant	More Inactive (A->B)	Unc13c
chrX-162375000	chrX	162375000	162400000	Reps2	Intergenic	-1.75466666666667	0.0146386382036292	0.0386232200877404	25000	A_to_B_in_Mutant	More Inactive (A->B)	Reps2
chr18-17700000	chr18	17700000	17725000	4930545E07Rik	Intergenic	-0.0336666666666664	0.322346257379604	0.420110698855278	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930545E07Rik
chr4-93650000	chr4	93650000	93675000	Tusc1	Intergenic	-0.00233333333333331	0.913330221863607	0.936880299007132	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tusc1
chr5-37450000	chr5	37450000	37475000	Evc2	intron (NM_022416, intron 7 of 11)	0.134666666666667	0.0169074753665174	0.0429418686610594	25000	B_to_A_in_Mutant	More Active (B->A)	Evc2
chr6-64600000	chr6	64600000	64625000	Atoh1	intron (NM_001370966, intron 14 of 15)	-0.072	0.0102176703982923	0.0296746389743215	25000	A_to_B_in_Mutant	More Inactive (A->B)	Atoh1
chr13-14400000	chr13	14400000	14425000	Hecw1	intron (NM_001081348, intron 2 of 28)	0.116666666666667	0.00345391944901075	0.0137426962456257	25000	B_to_A_in_Mutant	More Active (B->A)	Hecw1
chr18-8925000	chr18	8925000	8950000	Fzd8	Intergenic	0.105666666666667	0.0124066264417796	0.0341857139827634	25000	B_to_A_in_Mutant	More Active (B->A)	Fzd8
chr9-26350000	chr9	26350000	26375000	B3gat1	Intergenic	0.369	0.000348549360618952	0.00324262517705193	25000	B_to_A_in_Mutant	More Active (B->A)	B3gat1
chr16-11800000	chr16	11800000	11825000	4833415N18Rik	intron (NM_146067, intron 3 of 3)	0.173333333333333	0.0088037842527759	0.0266160432288537	25000	B_to_A_in_Mutant	More Active (B->A)	4833415N18Rik
chr1-160200000	chr1	160200000	160225000	Cacybp	intron (NM_009786, intron 1 of 5)	-0.129666666666667	0.000273182489765835	0.00283507717089844	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cacybp
chr6-121825000	chr6	121825000	121850000	Mug1	Intergenic	0.0156666666666671	0.635964230306189	0.714856921076855	25000	B_to_A_in_Mutant	More Active (B->A)	Mug1
chr5-99750000	chr5	99750000	99775000	Gm38413	Intergenic	0.0253333333333333	0.528620455490042	0.619779568259955	25000	B_to_A_in_Mutant	More Active (B->A)	Gm38413
chr4-43100000	chr4	43100000	43125000	Unc13b	intron (NM_001384106, intron 6 of 39)	-0.21	0.000132866381306979	0.00195660899591874	25000	A_to_B_in_Mutant	More Inactive (A->B)	Unc13b
chr5-66750000	chr5	66750000	66775000	Limch1	intron (NM_001001980, intron 1 of 25)	-0.0330000000000002	0.386111720839168	0.48430187277113	25000	A_to_B_in_Mutant	More Inactive (A->B)	Limch1
chrX-144975000	chrX	144975000	145000000	Mir3472	intron (NM_001033795, intron 2 of 6)	-1.218	0.00115777794531419	0.00665465449049394	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir3472
chr2-172950000	chr2	172950000	172975000	Spo11	Intergenic	0.173	0.00268444867633386	0.0115433449995489	25000	B_to_A_in_Mutant	More Active (B->A)	Spo11
chr2-51550000	chr2	51550000	51575000	Tas2r134	Intergenic	0.457333333333334	3.14220324731738e-07	0.000371695635116413	25000	B_to_A_in_Mutant	More Active (B->A)	Tas2r134
chr11-38300000	chr11	38300000	38325000	Gm12130	Intergenic	-0.12	0.00591890438553725	0.0200352154973026	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm12130
chr15-26025000	chr15	26025000	26050000	Gm41279	Intergenic	0.235333333333334	5.10554427606135e-05	0.00128581950150363	25000	B_to_A_in_Mutant	More Active (B->A)	Gm41279
chr14-58475000	chr14	58475000	58500000	Fgf9	Intergenic	0.189666666666667	0.00244589489995669	0.0108511508292843	25000	B_to_A_in_Mutant	More Active (B->A)	Fgf9
chr10-77475000	chr10	77475000	77500000	Slx9	3' UTR (NM_133998, exon 6 of 6)	-0.126333333333334	0.000853203614584581	0.00551119021378596	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slx9
chrX-32225000	chrX	32225000	32250000	Btbd35f2	Intergenic	0.0276666666666667	0.847988863755723	0.887555451020956	25000	B_to_A_in_Mutant	More Active (B->A)	Btbd35f2
chr1-61475000	chr1	61475000	61500000	9530026F06Rik	Intergenic	0.386333333333333	7.28608355541476e-05	0.00148621488515305	25000	B_to_A_in_Mutant	More Active (B->A)	9530026F06Rik
chr8-60300000	chr8	60300000	60325000	Aadat	Intergenic	0.00400000000000018	0.844174288098151	0.884464187352887	25000	B_to_A_in_Mutant	More Active (B->A)	Aadat
chr5-131375000	chr5	131375000	131400000	Gm29681	Intergenic	-0.0593333333333336	0.204608542676134	0.292815434302281	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm29681
chr2-17850000	chr2	17850000	17875000	Nebl	Intergenic	-0.0019999999999999	0.954819350131197	0.967420399778703	25000	A_to_B_in_Mutant	More Inactive (A->B)	Nebl
chr13-95800000	chr13	95800000	95825000	Iqgap2	intron (NM_027711, intron 2 of 35)	0.00333333333333305	0.890489046451276	0.919858946660764	25000	B_to_A_in_Mutant	More Active (B->A)	Iqgap2
chr6-40825000	chr6	40825000	40850000	Moxd2	Intergenic	-0.0133333333333332	0.531117313624874	0.622054307451499	25000	A_to_B_in_Mutant	More Inactive (A->B)	Moxd2
chr19-12525000	chr19	12525000	12550000	Dtx4	Intergenic	-0.111333333333333	0.00965412998984634	0.0284579040890981	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dtx4
chr13-8525000	chr13	8525000	8550000	Wdr37	intron (NR_110345, intron 1 of 10)	0.0626666666666667	0.223149213888123	0.313936532070615	25000	B_to_A_in_Mutant	More Active (B->A)	Wdr37
chr6-148825000	chr6	148825000	148850000	Ipo8	Intergenic	-0.185	0.0125970922108898	0.0345541603553309	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ipo8
chrX-46075000	chrX	46075000	46100000	4930515L19Rik	Intergenic	1.72	0.0362537994440199	0.0760559385736686	25000	B_to_A_in_Mutant	More Active (B->A)	4930515L19Rik
chr16-63275000	chr16	63275000	63300000	Pros1	Intergenic	0.0683333333333335	0.0886810894389015	0.151200521445787	25000	B_to_A_in_Mutant	More Active (B->A)	Pros1
chr17-17600000	chr17	17600000	17625000	Lnpep	intron (NM_172827, intron 1 of 17)	-0.179	0.000781800646207901	0.00522669937170678	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lnpep
chr2-104400000	chr2	104400000	104425000	D430041D05Rik	Intergenic	-0.218333333333334	0.000219342269434038	0.00252732003684201	25000	A_to_B_in_Mutant	More Inactive (A->B)	D430041D05Rik
chr5-101850000	chr5	101850000	101875000	Cds1	intron (NM_172882, intron 52 of 66)	-0.0613333333333334	0.0953641638747183	0.16019377264363	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cds1
chr12-94725000	chr12	94725000	94750000	Mir8099-1	Intergenic	0.0013333333333337	0.952496872768214	0.965697768665753	25000	B_to_A_in_Mutant	More Active (B->A)	Mir8099-1
chr9-70450000	chr9	70450000	70475000	Rnf111	intron (NM_001357494, intron 4 of 14)	-0.152	0.0010923836446152	0.00641698085032072	25000	A_to_B_in_Mutant	More Inactive (A->B)	Rnf111
chr12-101950000	chr12	101950000	101975000	Atxn3	Intergenic	-0.278	5.1993656740556e-05	0.00129389465205102	25000	A_to_B_in_Mutant	More Inactive (A->B)	Atxn3
chr7-10600000	chr7	10600000	10625000	Vmn1r70	Intergenic	0.0166666666666667	0.395877474208304	0.494064572234734	25000	B_to_A_in_Mutant	More Active (B->A)	Vmn1r70
chr7-112575000	chr7	112575000	112600000	Parvaos	intron (NM_020606, intron 12 of 12)	0.00933333333333324	0.746954682475827	0.807352912325775	25000	B_to_A_in_Mutant	More Active (B->A)	Parvaos
chrX-40175000	chrX	40175000	40200000	Cypt14-ps	Intergenic	1.61866666666667	0.0220265670717787	0.052247865295643	25000	B_to_A_in_Mutant	More Active (B->A)	Cypt14-ps
chr1-72225000	chr1	72225000	72250000	D230017M19Rik	Intergenic	-0.13	0.0233859248542389	0.0546660777673203	25000	A_to_B_in_Mutant	More Inactive (A->B)	D230017M19Rik
chr11-96950000	chr11	96950000	96975000	Sp2	intron (NM_001363225, intron 3 of 7)	0.0323333333333332	0.228959240628505	0.320333128194787	25000	B_to_A_in_Mutant	More Active (B->A)	Sp2
chr5-80525000	chr5	80525000	80550000	Adgrl3	Intergenic	-0.0403333333333333	0.115779860468931	0.186363568225206	25000	A_to_B_in_Mutant	More Inactive (A->B)	Adgrl3
chr8-107725000	chr8	107725000	107750000	Psmd7	Intergenic	0.164	0.000403479244395142	0.00351834177918494	25000	B_to_A_in_Mutant	More Active (B->A)	Psmd7
chr8-124025000	chr8	124025000	124050000	Mir1967	intron (NM_001368414, intron 6 of 9)	-0.00433333333333357	0.885751786705049	0.916354157717899	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mir1967
chr2-27325000	chr2	27325000	27350000	Vav2	intron (NR_133905, intron 1 of 29)	0.0166666666666666	0.566564859042338	0.653870647359019	25000	B_to_A_in_Mutant	More Active (B->A)	Vav2
chr9-91275000	chr9	91275000	91300000	Zic1	Intergenic	-0.184	0.00218028811929936	0.0100571773327362	25000	A_to_B_in_Mutant	More Inactive (A->B)	Zic1
chr13-15050000	chr13	15050000	15075000	Gli3	Intergenic	0.0803333333333336	0.0145677621007001	0.038487536932228	25000	B_to_A_in_Mutant	More Active (B->A)	Gli3
chr11-32250000	chr11	32250000	32275000	Nprl3	intron (NM_001284359, intron 2 of 13)	-0.0876666666666667	0.073814107723697	0.131166029914133	25000	A_to_B_in_Mutant	More Inactive (A->B)	Nprl3
chr4-118875000	chr4	118875000	118900000	Or10ak16	Intergenic	0.123666666666667	0.0677866382786146	0.122787810437556	25000	B_to_A_in_Mutant	More Active (B->A)	Or10ak16
chr3-104275000	chr3	104275000	104300000	Magi3	Intergenic	0.100333333333333	0.0480008533453101	0.0942426053091177	25000	B_to_A_in_Mutant	More Active (B->A)	Magi3
chr10-126400000	chr10	126400000	126425000	1700025K04Rik	Intergenic	0.284333333333333	0.00149814497826697	0.0078658219636546	25000	B_to_A_in_Mutant	More Active (B->A)	1700025K04Rik
chr3-47825000	chr3	47825000	47850000	Gm7977	Intergenic	0.149666666666667	0.0185191465687744	0.04592704989267	25000	B_to_A_in_Mutant	More Active (B->A)	Gm7977
chr1-104175000	chr1	104175000	104200000	Cdh20	Intergenic	0.000333333333333556	0.990858904612076	0.993115007506672	25000	B_to_A_in_Mutant	More Active (B->A)	Cdh20
chr4-50525000	chr4	50525000	50550000	Cylc2	Intergenic	-0.0133333333333333	0.516437656605415	0.608812213608168	25000	A_to_B_in_Mutant	More Inactive (A->B)	Cylc2
chr2-132550000	chr2	132550000	132575000	Gpcpd1	intron (NM_028802, intron 4 of 19)	0.031	0.493163996060326	0.587090097585911	25000	B_to_A_in_Mutant	More Active (B->A)	Gpcpd1
chr1-106450000	chr1	106450000	106475000	Mir3473f	Intergenic	0.0553333333333334	0.198140609203246	0.285269510332066	25000	B_to_A_in_Mutant	More Active (B->A)	Mir3473f
chr14-62925000	chr14	62925000	62950000	Defb48	intron (NM_175546, intron 6 of 11)	-0.0530000000000002	0.0659193909440843	0.120233003869767	25000	A_to_B_in_Mutant	More Inactive (A->B)	Defb48
chrX-136125000	chrX	136125000	136150000	Bex4	Intergenic	-1.33633333333333	0.0640269676284543	0.11755884089145	25000	A_to_B_in_Mutant	More Inactive (A->B)	Bex4
chr1-41200000	chr1	41200000	41225000	4930448I06Rik	Intergenic	0.281666666666667	0.000671654907760071	0.0047630835031677	25000	B_to_A_in_Mutant	More Active (B->A)	4930448I06Rik
chr15-53925000	chr15	53925000	53950000	Samd12	Intergenic	-0.0389999999999999	0.236332872510156	0.328408224233996	25000	A_to_B_in_Mutant	More Inactive (A->B)	Samd12
chr2-129450000	chr2	129450000	129475000	Gm14040	intron (NM_001379444, intron 4 of 6)	0.0676666666666667	0.0375671395717336	0.0781005708370746	25000	B_to_A_in_Mutant	More Active (B->A)	Gm14040
chr11-82150000	chr11	82150000	82175000	Ccl1	Intergenic	0.171666666666667	0.000518481625692983	0.00409326030910621	25000	B_to_A_in_Mutant	More Active (B->A)	Ccl1
chrX-150800000	chrX	150800000	150825000	Maged2	intron (NM_030700, intron 2 of 12)	-2.00233333333333	0.0196542008497352	0.0480087960740377	25000	A_to_B_in_Mutant	More Inactive (A->B)	Maged2
chr11-54175000	chr11	54175000	54200000	4933405E24Rik	intron (NR_045506, intron 2 of 2)	0.0123333333333331	0.669317006962273	0.743316811043477	25000	B_to_A_in_Mutant	More Active (B->A)	4933405E24Rik
chr5-81825000	chr5	81825000	81850000	1700031L13Rik	Intergenic	-0.0339999999999999	0.0947893481668942	0.159425718333429	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700031L13Rik
chr10-42650000	chr10	42650000	42675000	Ostm1	Intergenic	0.0286666666666664	0.510715314441905	0.603441546307889	25000	B_to_A_in_Mutant	More Active (B->A)	Ostm1
chr4-105875000	chr4	105875000	105900000	Gm12724	Intergenic	0.424666666666667	0.000153008314430039	0.00209711516976737	25000	B_to_A_in_Mutant	More Active (B->A)	Gm12724
chr11-56450000	chr11	56450000	56475000	Nmur2	Intergenic	0.196	0.000123128929150731	0.00188130795463183	25000	B_to_A_in_Mutant	More Active (B->A)	Nmur2
chr16-37100000	chr16	37100000	37125000	Polq	3' UTR (NM_172440, exon 28 of 28)	-0.336333333333334	3.62958209292652e-05	0.00111771782415851	25000	A_to_B_in_Mutant	More Inactive (A->B)	Polq
chr8-82675000	chr8	82675000	82700000	Zfp330	Intergenic	-0.00366666666666654	0.900711955258882	0.927772958747818	25000	A_to_B_in_Mutant	More Inactive (A->B)	Zfp330
chr4-135350000	chr4	135350000	135375000	Srrm1	Intergenic	-0.0500000000000001	0.0795109374700622	0.138903036898358	25000	A_to_B_in_Mutant	More Inactive (A->B)	Srrm1
chr18-9175000	chr18	9175000	9200000	Fzd8	Intergenic	-0.0289999999999998	0.280974705756687	0.376638042371343	25000	A_to_B_in_Mutant	More Inactive (A->B)	Fzd8
chr6-35850000	chr6	35850000	35875000	Mtpn	Intergenic	0.688333333333334	2.58771463695143e-07	0.000370604472033477	25000	B_to_A_in_Mutant	More Active (B->A)	Mtpn
chr4-17525000	chr4	17525000	17550000	Gm30092	Intergenic	0.0243333333333334	0.505724508328936	0.598783094106025	25000	B_to_A_in_Mutant	More Active (B->A)	Gm30092
chr8-66150000	chr8	66150000	66175000	Marchf1	intron (NM_001166372, intron 3 of 7)	-0.0193333333333334	0.521607220561858	0.613431278299527	25000	A_to_B_in_Mutant	More Inactive (A->B)	Marchf1
chr18-46200000	chr18	46200000	46225000	Trim36	5' UTR (NM_178872, exon 1 of 10)	-0.212	0.0246087170337475	0.0568304801095329	25000	A_to_B_in_Mutant	More Inactive (A->B)	Trim36
chr7-83150000	chr7	83150000	83175000	A530021J07Rik	intron (NM_177895, intron 4 of 4)	0.147666666666667	0.000567179002417776	0.00431646305242154	25000	B_to_A_in_Mutant	More Active (B->A)	A530021J07Rik
chr13-16975000	chr13	16975000	17000000	Sugct	intron (NM_138654, intron 12 of 13)	0.320666666666667	0.000392975785121888	0.00346888203302405	25000	B_to_A_in_Mutant	More Active (B->A)	Sugct
chr19-17675000	chr19	17675000	17700000	Pcsk5	intron (NM_001190483, intron 5 of 37)	0.261333333333333	0.00252981080729391	0.0110903764660002	25000	B_to_A_in_Mutant	More Active (B->A)	Pcsk5
chr8-107850000	chr8	107850000	107875000	Psmd7	Intergenic	0.171	0.000445892504873497	0.00372832192859121	25000	B_to_A_in_Mutant	More Active (B->A)	Psmd7
chr15-93425000	chr15	93425000	93450000	Pphln1	intron (NM_146062, intron 4 of 9)	-0.0363333333333334	0.364286933839699	0.462818638869458	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pphln1
chrX-141250000	chrX	141250000	141275000	Col4a6	intron (NM_053185, intron 3 of 44)	-2.07	0.00550195472640388	0.0190169878105868	25000	A_to_B_in_Mutant	More Inactive (A->B)	Col4a6
chrX-107600000	chrX	107600000	107625000	Tbx22	Intergenic	-1.148	0.000264589237020201	0.00278887190302481	25000	A_to_B_in_Mutant	More Inactive (A->B)	Tbx22
chr2-5250000	chr2	5250000	5275000	Mir466d	Intergenic	0.217333333333333	0.000116773563320515	0.0018392197975036	25000	B_to_A_in_Mutant	More Active (B->A)	Mir466d
chr11-95075000	chr11	95075000	95100000	Itga3	Intergenic	0.0493333333333332	0.0359491557346453	0.0755836890127095	25000	B_to_A_in_Mutant	More Active (B->A)	Itga3
chr16-87200000	chr16	87200000	87225000	Gm32865	Intergenic	-0.0816666666666664	0.00724694430581827	0.0231758172346466	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm32865
chr4-143275000	chr4	143275000	143300000	Pdpn	intron (NM_010329, intron 1 of 5)	-0.0143333333333333	0.589698488351413	0.674584120611428	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pdpn
chr7-57600000	chr7	57600000	57625000	Gabrb3	intron (NM_001038701, intron 3 of 8)	-0.0853333333333333	0.0371148701735811	0.0774190267317503	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gabrb3
chr4-51825000	chr4	51825000	51850000	C630028M04Rik	Intergenic	0.00500000000000024	0.861985810259342	0.898119384898619	25000	B_to_A_in_Mutant	More Active (B->A)	C630028M04Rik
chr12-14000000	chr12	14000000	14025000	Lratd1	Intergenic	0.256	0.00105696776672677	0.00628592293787843	25000	B_to_A_in_Mutant	More Active (B->A)	Lratd1
chr9-75625000	chr9	75625000	75650000	Lysmd2	3' UTR (NM_027309, exon 3 of 3)	-0.421666666666667	4.61135296616869e-05	0.00123590093571928	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lysmd2
chr18-28450000	chr18	28450000	28475000	4930474G06Rik	Intergenic	0.108666666666667	0.00147024029868162	0.0077714235499308	25000	B_to_A_in_Mutant	More Active (B->A)	4930474G06Rik
chr2-32875000	chr2	32875000	32900000	Niban2	intron (NM_146119, intron 1 of 13)	-0.039666666666667	0.230262667395031	0.321751927002946	25000	A_to_B_in_Mutant	More Inactive (A->B)	Niban2
chr3-101950000	chr3	101950000	101975000	Slc22a15	Intergenic	-0.105	0.0101535796647601	0.0295342008876785	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc22a15
chr14-98975000	chr14	98975000	99000000	Mzt1	Intergenic	-0.0883333333333332	0.0153278382624137	0.0399732221762784	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mzt1
chr7-39525000	chr7	39525000	39550000	Gm33989	exon (NM_001004139, exon 4 of 4)	-0.151	0.00480833488788087	0.0172955765588115	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm33989
chr6-148750000	chr6	148750000	148775000	Ipo8	Intergenic	-0.00999999999999993	0.88125846893614	0.913128712032429	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ipo8
chr7-117625000	chr7	117625000	117650000	Xylt1	intron (NM_175645, intron 7 of 11)	0.368666666666667	4.04004753225077e-05	0.00116839645412226	25000	B_to_A_in_Mutant	More Active (B->A)	Xylt1
chr12-94850000	chr12	94850000	94875000	Flrt2	Intergenic	0.00700000000000015	0.756000921950987	0.814774907499434	25000	B_to_A_in_Mutant	More Active (B->A)	Flrt2
chr5-101725000	chr5	101725000	101750000	Cds1	Intergenic	0.109333333333333	0.00753324466629992	0.0238120690928546	25000	B_to_A_in_Mutant	More Active (B->A)	Cds1
chr16-23200000	chr16	23200000	23225000	St6gal1	Intergenic	0.205333333333333	0.0252680652822997	0.0579794189363728	25000	B_to_A_in_Mutant	More Active (B->A)	St6gal1
chr10-116250000	chr10	116250000	116275000	Ptprb	intron (NM_011217, intron 13 of 13)	-0.234666666666667	0.0027408583421743	0.0116968749597369	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ptprb
chr1-4225000	chr1	4225000	4250000	Rp1	intron (NM_001370921, intron 12 of 22)	0.0436666666666668	0.281750734320343	0.377454371013013	25000	B_to_A_in_Mutant	More Active (B->A)	Rp1
chr5-48625000	chr5	48625000	48650000	Kcnip4	intron (NM_001199244, intron 1 of 7)	-0.0879999999999997	0.0490702605989167	0.0958910818813022	25000	A_to_B_in_Mutant	More Inactive (A->B)	Kcnip4
chr6-113225000	chr6	113225000	113250000	Mtmr14	promoter-TSS (NM_026849)	-0.105	0.00164906034304947	0.00836617393342049	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mtmr14
chr2-150325000	chr2	150325000	150350000	3300002I08Rik	intron (NM_027017, intron 3 of 3)	-0.0450000000000001	0.199222682591098	0.286564497087196	25000	A_to_B_in_Mutant	More Inactive (A->B)	3300002I08Rik
chr2-50850000	chr2	50850000	50875000	Gm13498	Intergenic	0.492333333333334	2.60348106070287e-06	0.000524222511240614	25000	B_to_A_in_Mutant	More Active (B->A)	Gm13498
chr7-97225000	chr7	97225000	97250000	Usp35	intron (NM_010248, intron 2 of 9)	-0.221333333333333	0.00976097890919487	0.0287041231197827	25000	A_to_B_in_Mutant	More Inactive (A->B)	Usp35
chr6-72500000	chr6	72500000	72525000	Sh2d6	Intergenic	-0.0770000000000002	0.00662877381146613	0.0217110170793378	25000	A_to_B_in_Mutant	More Inactive (A->B)	Sh2d6
chr1-169150000	chr1	169150000	169175000	Mir6354	Intergenic	0.260666666666667	0.000251371368445693	0.00271313514797069	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6354
chr8-60050000	chr8	60050000	60075000	4930470O06Rik	Intergenic	0.0523333333333336	0.040676947192792	0.0830061147572118	25000	B_to_A_in_Mutant	More Active (B->A)	4930470O06Rik
chr1-179775000	chr1	179775000	179800000	Ahctf1	intron (NM_026375, intron 8 of 35)	-0.197666666666667	0.00192822621125771	0.00926693232184183	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ahctf1
chr5-38425000	chr5	38425000	38450000	Slc2a9	intron (NM_001012363, intron 4 of 11)	-0.064	0.255581300276435	0.349331661231386	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc2a9
chr13-70650000	chr13	70650000	70675000	Ice1	Intergenic	0.129	0.00387513620384202	0.0148722155029806	25000	B_to_A_in_Mutant	More Active (B->A)	Ice1
chr18-70300000	chr18	70300000	70325000	Dynap	Intergenic	0.176	0.00565380916437234	0.0193974603910533	25000	B_to_A_in_Mutant	More Active (B->A)	Dynap
chr6-61925000	chr6	61925000	61950000	A730020E08Rik	intron (NM_001164316, intron 9 of 10)	-0.130666666666667	0.010029131967432	0.0292659775864191	25000	A_to_B_in_Mutant	More Inactive (A->B)	A730020E08Rik
chr18-7950000	chr18	7950000	7975000	Wac	Intergenic	-0.104666666666666	0.0083009181202197	0.0255160386377394	25000	A_to_B_in_Mutant	More Inactive (A->B)	Wac
chr6-131550000	chr6	131550000	131575000	5430401F13Rik	Intergenic	-0.0339999999999997	0.291037784984727	0.387336405115567	25000	A_to_B_in_Mutant	More Inactive (A->B)	5430401F13Rik
chrX-80325000	chrX	80325000	80350000	Mageb16	Intergenic	-0.103666666666667	0.6892250447932	0.75990674489571	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mageb16
chr8-92025000	chr8	92025000	92050000	Irx3	Intergenic	0.123	0.0186858578914816	0.0462291941046422	25000	B_to_A_in_Mutant	More Active (B->A)	Irx3
chr6-41525000	chr6	41525000	41550000	Prss2	Intergenic	-0.0263333333333331	0.273339863543614	0.368497476792735	25000	A_to_B_in_Mutant	More Inactive (A->B)	Prss2
chr7-8425000	chr7	8425000	8450000	Vmn2r45	Intergenic	0.020666666666667	0.463164329413957	0.559526937240494	25000	B_to_A_in_Mutant	More Active (B->A)	Vmn2r45
chr12-71375000	chr12	71375000	71400000	1700083H02Rik	Intergenic	-0.0340000000000003	0.167750470462284	0.249748002730448	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700083H02Rik
chr1-120275000	chr1	120275000	120300000	Steap3	Intergenic	0.0936666666666667	0.0241467025683566	0.0560322524865535	25000	B_to_A_in_Mutant	More Active (B->A)	Steap3
chr3-120175000	chr3	120175000	120200000	Ptbp2	Intergenic	0.199	0.00245207624519223	0.010868616054929	25000	B_to_A_in_Mutant	More Active (B->A)	Ptbp2
chr2-34175000	chr2	34175000	34200000	C230014O12Rik	intron (NM_016768, intron 5 of 8)	-0.000333333333333393	0.987289033622164	0.990739172808657	25000	A_to_B_in_Mutant	More Inactive (A->B)	C230014O12Rik
chr18-31925000	chr18	31925000	31950000	Lims2	5' UTR (NM_001379138, exon 1 of 10)	-0.245	0.00651014952452725	0.0214355838995198	25000	A_to_B_in_Mutant	More Inactive (A->B)	Lims2
chr12-15450000	chr12	15450000	15475000	Mir6387	Intergenic	0.0836666666666668	0.00775225028347243	0.0243014441596659	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6387
chr6-121750000	chr6	121750000	121775000	Mug1	Intergenic	-0.0136666666666667	0.590477530177048	0.675313431318445	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mug1
chr5-12475000	chr5	12475000	12500000	Sema3d	intron (NM_028882, intron 4 of 17)	0.00933333333333348	0.808742576265948	0.856976971037776	25000	B_to_A_in_Mutant	More Active (B->A)	Sema3d
chr11-109150000	chr11	109150000	109175000	E030025P04Rik	Intergenic	-0.021	0.662702340833654	0.737565807004249	25000	A_to_B_in_Mutant	More Inactive (A->B)	E030025P04Rik
chr1-172475000	chr1	172475000	172500000	Igsf9	intron (NM_001145800, intron 3 of 20)	-0.0586666666666667	0.228780886758198	0.32013204834481	25000	A_to_B_in_Mutant	More Inactive (A->B)	Igsf9
chr11-96100000	chr11	96100000	96125000	Calcoco2	promoter-TSS (NM_001271018)	0.188666666666667	0.00059444311654138	0.00442823105219001	25000	B_to_A_in_Mutant	More Active (B->A)	Calcoco2
chr12-108850000	chr12	108850000	108875000	Slc25a47	intron (NM_001164314, intron 9 of 9)	-0.0676666666666669	0.0566258337509564	0.107020952364824	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slc25a47
chr8-97975000	chr8	97975000	98000000	Gm15679	Intergenic	-0.049	0.195895150840946	0.282632914074049	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm15679
chr19-38025000	chr19	38025000	38050000	Myof	intron (NM_001099634, intron 1 of 52)	0.111	0.131440164510177	0.206013960294297	25000	B_to_A_in_Mutant	More Active (B->A)	Myof
chr19-53200000	chr19	53200000	53225000	1700001K23Rik	intron (NM_013758, intron 2 of 15)	-0.145	0.0466524917902596	0.0922131244693405	25000	A_to_B_in_Mutant	More Inactive (A->B)	1700001K23Rik
chr15-88050000	chr15	88050000	88075000	B230214G05Rik	Intergenic	0.0586666666666666	0.0874693334565152	0.149626225176931	25000	B_to_A_in_Mutant	More Active (B->A)	B230214G05Rik
chrX-122300000	chrX	122300000	122325000	Nap1l3	Intergenic	0.331666666666667	0.143002933824928	0.220083097320367	25000	B_to_A_in_Mutant	More Active (B->A)	Nap1l3
