Chr	Start	End	cluster	mecp2_class	chromatin_state
chr12	6042624	6043024	Cluster 4	MeCP2 Up	Unmarked
chr18	12841761	12842161	Cluster 1	MeCP2 Down	Unmarked
chr6	75600204	75600604	Cluster 2	MeCP2 Up	Unmarked
chr4	120241745	120242145	Cluster 3	MeCP2 Down	Poised_Enhancer
chr1	104764461	104764861	Cluster 3	MeCP2 Up	Unmarked
chr9	75284771	75285171	Cluster 1	MeCP2 Up	Unmarked
chr12	67091374	67091774	Cluster 4	MeCP2 Up	Unmarked
chr2	46315466	46315866	Cluster 2	MeCP2 Up	Unmarked
chr16	24137487	24137887	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	66007008	66007408	Cluster 2	MeCP2 Up	Unmarked
chr4	13198060	13198460	Cluster 3	MeCP2 Up	Unmarked
chr1	76733680	76734080	Cluster 1	MeCP2 Up	Unmarked
chr16	33876749	33877149	Cluster 1	MeCP2 Up	Unmarked
chr18	77557068	77557468	Cluster 3	MeCP2 Down	Unmarked
chr4	94114350	94114750	Cluster 2	MeCP2 Up	Unmarked
chr7	92290068	92290468	Cluster 1	MeCP2 Up	Unmarked
chr3	157206576	157206976	Cluster 1	MeCP2 Up	Unmarked
chr1	121598377	121598777	Cluster 3	MeCP2 Up	Unmarked
chr13	43896610	43897010	Cluster 2	MeCP2 Up	Unmarked
chr14	77647578	77647978	Cluster 3	MeCP2 Down	Unmarked
chr18	33750493	33750893	Cluster 2	MeCP2 Up	Unmarked
chr11	34151094	34151494	Cluster 3	MeCP2 Up	Unmarked
chr1	53091404	53091804	Cluster 2	MeCP2 Up	Unmarked
chr6	59487264	59487664	Cluster 4	MeCP2 Up	Unmarked
chr17	70126453	70126853	Cluster 1	MeCP2 Up	Unmarked
chr16	95067484	95067884	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	60736090	60736490	Cluster 1	MeCP2 Up	Unmarked
chr17	71971152	71971552	Cluster 3	MeCP2 Down	Unmarked
chr15	57163967	57164367	Cluster 2	MeCP2 Up	Active_Enhancer
chr13	20551015	20551415	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	32000328	32000728	Cluster 2	MeCP2 Up	Unmarked
chr9	100943962	100944362	Cluster 3	MeCP2 Up	Poised_Enhancer
chr4	48867212	48867612	Cluster 3	MeCP2 Up	Unmarked
chr2	114005701	114006101	Cluster 3	MeCP2 Up	Unmarked
chr6	28331556	28331956	Cluster 4	MeCP2 Up	Poised_Enhancer
chr6	20854541	20854941	Cluster 1	MeCP2 Up	Unmarked
chr1	64257829	64258229	Cluster 3	MeCP2 Up	Unmarked
chr10	98538551	98538951	Cluster 2	MeCP2 Up	Unmarked
chr6	80757432	80757832	Cluster 2	MeCP2 Up	Unmarked
chr6	53803151	53803551	Cluster 2	MeCP2 Down	Unmarked
chr12	107095399	107095799	Cluster 1	MeCP2 Up	Unmarked
chr16	50031924	50032324	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	45903189	45903589	Cluster 3	MeCP2 Up	Unmarked
chr17	69679250	69679650	Cluster 2	MeCP2 Up	Unmarked
chr12	29829244	29829644	Cluster 3	MeCP2 Up	Unmarked
chr9	34487097	34487497	Cluster 1	MeCP2 Up	Active_Promoter
chr10	114903774	114904174	Cluster 2	MeCP2 Up	Unmarked
chr3	120948612	120949012	Cluster 1	MeCP2 Up	Unmarked
chr1	38321055	38321455	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	45870121	45870521	Cluster 3	MeCP2 Up	Poised_Enhancer
chr6	92383059	92383459	Cluster 3	MeCP2 Down	Unmarked
chr2	110946756	110947156	Cluster 2	MeCP2 Up	Poised_Enhancer
chr15	24967330	24967730	Cluster 2	MeCP2 Up	Unmarked
chr6	93816206	93816606	Cluster 2	MeCP2 Up	Unmarked
chr1	106150353	106150753	Cluster 1	MeCP2 Up	Poised_Enhancer
chr17	3330795	3331195	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	74934580	74934980	Cluster 3	MeCP2 Down	Unmarked
chr13	43712781	43713181	Cluster 1	MeCP2 Up	Unmarked
chr9	102404448	102404848	Cluster 2	MeCP2 Down	Unmarked
chr6	119197880	119198280	Cluster 3	MeCP2 Down	Unmarked
chr4	13246499	13246899	Cluster 3	MeCP2 Up	Unmarked
chr15	86534347	86534747	Cluster 2	MeCP2 Up	Unmarked
chr7	89631851	89632251	Cluster 1	MeCP2 Up	Active_Promoter
chr6	99677307	99677707	Cluster 2	MeCP2 Up	Unmarked
chr14	105779588	105779988	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	87398740	87399140	Cluster 1	MeCP2 Up	Unmarked
chr4	9513346	9513746	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	94383313	94383713	Cluster 3	MeCP2 Down	Polycomb
chr14	68080040	68080440	Cluster 3	MeCP2 Up	Polycomb
chr19	4490828	4491228	Cluster 1	MeCP2 Up	Poised_Enhancer
chr19	23400868	23401268	Cluster 2	MeCP2 Up	Unmarked
chr8	34672396	34672796	Cluster 3	MeCP2 Up	Unmarked
chr2	65937778	65938178	Cluster 3	MeCP2 Down	Polycomb
chr16	72677419	72677819	Cluster 3	MeCP2 Down	Poised_Enhancer
chr14	86492284	86492684	Cluster 3	MeCP2 Up	Unmarked
chr8	90242151	90242551	Cluster 3	MeCP2 Up	Polycomb
chr6	106379607	106380007	Cluster 2	MeCP2 Up	Unmarked
chr16	31661390	31661790	Cluster 2	MeCP2 Up	Unmarked
chr6	40164347	40164747	Cluster 3	MeCP2 Down	Unmarked
chr7	132229448	132229848	Cluster 1	MeCP2 Up	Unmarked
chr18	33759853	33760253	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	112562786	112563186	Cluster 1	MeCP2 Up	Unmarked
chr6	19410400	19410800	Cluster 2	MeCP2 Up	Unmarked
chr3	85488602	85489002	Cluster 1	MeCP2 Up	Unmarked
chr1	157565203	157565603	Cluster 3	MeCP2 Down	Polycomb
chr3	109924523	109924923	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	125962842	125963242	Cluster 4	MeCP2 Up	Active_Enhancer
chr4	13788194	13788594	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	24136735	24137135	Cluster 2	MeCP2 Up	Unmarked
chr15	37507748	37508148	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	58866585	58866985	Cluster 2	MeCP2 Up	Unmarked
chr17	6022164	6022564	Cluster 3	MeCP2 Up	Unmarked
chr16	80255928	80256328	Cluster 4	MeCP2 Up	Poised_Enhancer
chr9	113170082	113170482	Cluster 2	MeCP2 Up	Unmarked
chr5	99500881	99501281	Cluster 3	MeCP2 Down	Polycomb
chr4	47699290	47699690	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	49835254	49835654	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	38232445	38232845	Cluster 3	MeCP2 Down	Polycomb
chr16	33878296	33878696	Cluster 1	MeCP2 Up	Poised_Enhancer
chr16	76276651	76277051	Cluster 1	MeCP2 Up	Unmarked
chr9	49175380	49175780	Cluster 1	MeCP2 Up	Unmarked
chr1	20070906	20071306	Cluster 2	MeCP2 Up	Unmarked
chr4	75394561	75394961	Cluster 1	MeCP2 Up	Active_Enhancer
chr12	9259512	9259912	Cluster 3	MeCP2 Up	Unmarked
chr5	74267956	74268356	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	28849693	28850093	Cluster 3	MeCP2 Up	Unmarked
chr15	66323378	66323778	Cluster 4	MeCP2 Up	Poised_Enhancer
chr14	97812105	97812505	Cluster 2	MeCP2 Up	Unmarked
chr17	11074959	11075359	Cluster 1	MeCP2 Up	Unmarked
chr11	50645085	50645485	Cluster 2	MeCP2 Up	Unmarked
chr14	49802385	49802785	Cluster 4	MeCP2 Up	Unmarked
chr18	53548046	53548446	Cluster 2	MeCP2 Up	Unmarked
chr2	8155061	8155461	Cluster 2	MeCP2 Up	Unmarked
chr8	35993373	35993773	Cluster 2	MeCP2 Up	Unmarked
chr13	28483447	28483847	Cluster 2	MeCP2 Up	Unmarked
chr6	40232939	40233339	Cluster 3	MeCP2 Down	Unmarked
chr8	26504258	26504658	Cluster 3	MeCP2 Up	Unmarked
chr19	23363789	23364189	Cluster 1	MeCP2 Up	Unmarked
chr9	100576209	100576609	Cluster 2	MeCP2 Up	Unmarked
chr16	79720685	79721085	Cluster 1	MeCP2 Up	Unmarked
chr14	102865446	102865846	Cluster 2	MeCP2 Up	Poised_Enhancer
chr13	109094293	109094693	Cluster 1	MeCP2 Up	Unmarked
chr1	194012872	194013272	Cluster 2	MeCP2 Up	Unmarked
chr14	10401506	10401906	Cluster 2	MeCP2 Up	Unmarked
chr4	84843754	84844154	Cluster 2	MeCP2 Up	Unmarked
chr5	97346927	97347327	Cluster 3	MeCP2 Up	Unmarked
chr4	82935924	82936324	Cluster 3	MeCP2 Up	Unmarked
chr12	38776024	38776424	Cluster 4	MeCP2 Up	Unmarked
chrX	129414122	129414522	Cluster 2	MeCP2 Up	Poised_Enhancer
chr10	12714113	12714513	Cluster 1	MeCP2 Up	Unmarked
chr10	90809226	90809626	Cluster 2	MeCP2 Down	Unmarked
chr5	86411602	86412002	Cluster 2	MeCP2 Up	Unmarked
chr8	113861190	113861590	Cluster 2	MeCP2 Up	Unmarked
chr13	101230781	101231181	Cluster 1	MeCP2 Up	Unmarked
chr4	67575178	67575578	Cluster 2	MeCP2 Up	Poised_Enhancer
chr16	33697552	33697952	Cluster 1	MeCP2 Up	Poised_Enhancer
chr17	68561854	68562254	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	118925315	118925715	Cluster 1	MeCP2 Down	Unmarked
chr18	48450613	48451013	Cluster 2	MeCP2 Up	Unmarked
chr1	62217003	62217403	Cluster 2	MeCP2 Up	Unmarked
chr6	64293849	64294249	Cluster 2	MeCP2 Up	Unmarked
chr9	112723328	112723728	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	60278132	60278532	Cluster 2	MeCP2 Up	Poised_Enhancer
chr4	14177618	14178018	Cluster 2	MeCP2 Up	Unmarked
chr4	20774656	20775056	Cluster 2	MeCP2 Up	Unmarked
chr7	90056722	90057122	Cluster 2	MeCP2 Up	Unmarked
chr16	50016437	50016837	Cluster 1	MeCP2 Up	Unmarked
chr15	59285097	59285497	Cluster 3	MeCP2 Up	Unmarked
chr18	64789315	64789715	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	64311182	64311582	Cluster 1	MeCP2 Up	Unmarked
chr7	134190352	134190752	Cluster 3	MeCP2 Up	Unmarked
chr8	108912080	108912480	Cluster 3	MeCP2 Up	Unmarked
chr4	33900559	33900959	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	31317641	31318041	Cluster 4	MeCP2 Up	Active_Promoter
chr4	68008716	68009116	Cluster 2	MeCP2 Up	Unmarked
chr6	108056417	108056817	Cluster 2	MeCP2 Up	Unmarked
chr14	27333532	27333932	Cluster 2	MeCP2 Up	Unmarked
chr14	15441732	15442132	Cluster 1	MeCP2 Up	Unmarked
chr16	50007995	50008395	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	67621152	67621552	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	137022724	137023124	Cluster 1	MeCP2 Up	Poised_Enhancer
chr9	73258604	73259004	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	122298809	122299209	Cluster 3	MeCP2 Down	Unmarked
chr4	97593402	97593802	Cluster 2	MeCP2 Up	Unmarked
chr17	83962342	83962742	Cluster 1	MeCP2 Up	Unmarked
chr8	49791144	49791544	Cluster 2	MeCP2 Up	Unmarked
chr4	65079513	65079913	Cluster 2	MeCP2 Up	Unmarked
chr12	101819766	101820166	Cluster 3	MeCP2 Down	Repressed_Promoter
chr17	11895931	11896331	Cluster 3	MeCP2 Down	Unmarked
chr3	68419841	68420241	Cluster 3	MeCP2 Up	Unmarked
chr7	49764080	49764480	Cluster 2	MeCP2 Up	Unmarked
chr14	104207851	104208251	Cluster 2	MeCP2 Up	Unmarked
chr12	52880067	52880467	Cluster 3	MeCP2 Down	Unmarked
chr8	52569835	52570235	Cluster 2	MeCP2 Up	Unmarked
chr16	44642639	44643039	Cluster 2	MeCP2 Up	Unmarked
chr18	30964367	30964767	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	59372442	59372842	Cluster 4	MeCP2 Up	Unmarked
chr5	97929310	97929710	Cluster 2	MeCP2 Up	Unmarked
chr18	48334303	48334703	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	73723939	73724339	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	57897507	57897907	Cluster 1	MeCP2 Up	Unmarked
chr8	36608330	36608730	Cluster 1	MeCP2 Up	Poised_Enhancer
chr16	72909563	72909963	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	45361850	45362250	Cluster 2	MeCP2 Down	Unmarked
chr17	62604926	62605326	Cluster 2	MeCP2 Up	Unmarked
chr15	73474640	73475040	Cluster 3	MeCP2 Down	Unmarked
chr2	70407195	70407595	Cluster 3	MeCP2 Up	Polycomb
chr14	16202529	16202929	Cluster 2	MeCP2 Up	Unmarked
chr2	59508320	59508720	Cluster 3	MeCP2 Up	Unmarked
chr9	73164114	73164514	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	106382503	106382903	Cluster 3	MeCP2 Up	Unmarked
chr1	146368112	146368512	Cluster 2	MeCP2 Up	Unmarked
chr9	112492451	112492851	Cluster 2	MeCP2 Up	Unmarked
chr15	42330253	42330653	Cluster 2	MeCP2 Up	Unmarked
chr17	88403072	88403472	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	72914035	72914435	Cluster 4	MeCP2 Up	Poised_Enhancer
chr10	13712835	13713235	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	48046626	48047026	Cluster 1	MeCP2 Down	Unmarked
chr11	105365513	105365913	Cluster 3	MeCP2 Down	Polycomb
chr4	100376677	100377077	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	21753214	21753614	Cluster 3	MeCP2 Down	Unmarked
chr7	65493499	65493899	Cluster 3	MeCP2 Down	Unmarked
chr19	22434551	22434951	Cluster 1	MeCP2 Up	Unmarked
chr12	100897869	100898269	Cluster 1	MeCP2 Up	Active_Promoter
chr4	44533311	44533711	Cluster 3	MeCP2 Down	Polycomb
chr12	89551985	89552385	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	34774070	34774470	Cluster 1	MeCP2 Down	Poised_Enhancer
chr7	71702649	71703049	Cluster 2	MeCP2 Up	Unmarked
chr3	49181231	49181631	Cluster 2	MeCP2 Up	Unmarked
chr3	137165825	137166225	Cluster 2	MeCP2 Up	Unmarked
chr14	80520317	80520717	Cluster 1	MeCP2 Up	Unmarked
chr15	27676037	27676437	Cluster 3	MeCP2 Down	Poised_Enhancer
chr14	101307033	101307433	Cluster 2	MeCP2 Up	Poised_Enhancer
chr6	106390700	106391100	Cluster 2	MeCP2 Up	Unmarked
chr3	120931318	120931718	Cluster 2	MeCP2 Up	Unmarked
chr11	116360997	116361397	Cluster 1	MeCP2 Down	Unmarked
chr12	25871972	25872372	Cluster 1	MeCP2 Up	Unmarked
chr4	137017037	137017437	Cluster 1	MeCP2 Up	Unmarked
chr1	131553904	131554304	Cluster 2	MeCP2 Up	Poised_Enhancer
chr7	92114779	92115179	Cluster 2	MeCP2 Up	Unmarked
chr7	129784968	129785368	Cluster 2	MeCP2 Up	Unmarked
chr6	11609875	11610275	Cluster 2	MeCP2 Up	Unmarked
chr3	65297632	65298032	Cluster 1	MeCP2 Up	Unmarked
chr18	54544153	54544553	Cluster 2	MeCP2 Up	Unmarked
chr3	138079919	138080319	Cluster 2	MeCP2 Up	Unmarked
chr5	71987942	71988342	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	133536693	133537093	Cluster 2	MeCP2 Up	Unmarked
chr4	120372383	120372783	Cluster 3	MeCP2 Down	Unmarked
chr8	34678288	34678688	Cluster 3	MeCP2 Up	Unmarked
chr15	77995464	77995864	Cluster 1	MeCP2 Down	Unmarked
chr6	81485582	81485982	Cluster 3	MeCP2 Up	Unmarked
chr15	59644564	59644964	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	55139587	55139987	Cluster 2	MeCP2 Up	Unmarked
chr3	96980024	96980424	Cluster 1	MeCP2 Up	Unmarked
chr11	77181947	77182347	Cluster 2	MeCP2 Up	Unmarked
chr12	112585039	112585439	Cluster 3	MeCP2 Down	Unmarked
chr5	140254385	140254785	Cluster 3	MeCP2 Down	Poised_Enhancer
chr9	41186204	41186604	Cluster 2	MeCP2 Up	Unmarked
chr6	58929196	58929596	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	48336384	48336784	Cluster 4	MeCP2 Up	Poised_Enhancer
chr9	61778809	61779209	Cluster 3	MeCP2 Up	Poised_Enhancer
chr14	82209249	82209649	Cluster 3	MeCP2 Up	Poised_Enhancer
chr4	55049130	55049530	Cluster 3	MeCP2 Down	Unmarked
chr8	98813748	98814148	Cluster 4	MeCP2 Up	Unmarked
chr4	66586991	66587391	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	30700514	30700914	Cluster 1	MeCP2 Up	Unmarked
chr14	9080586	9080986	Cluster 2	MeCP2 Up	Unmarked
chr1	73822242	73822642	Cluster 1	MeCP2 Up	Unmarked
chr15	99435474	99435874	Cluster 2	MeCP2 Down	Unmarked
chr13	91357836	91358236	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	68828145	68828545	Cluster 2	MeCP2 Up	Active_Enhancer
chr12	89518678	89519078	Cluster 2	MeCP2 Up	Unmarked
chr18	33606655	33607055	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	59582134	59582534	Cluster 1	MeCP2 Up	Unmarked
chr16	95061807	95062207	Cluster 3	MeCP2 Up	Unmarked
chr2	139361179	139361579	Cluster 4	MeCP2 Up	Active_Enhancer
chr16	29883512	29883912	Cluster 3	MeCP2 Down	Polycomb
chr18	31314890	31315290	Cluster 1	MeCP2 Up	Active_Promoter
chr12	91060054	91060454	Cluster 1	MeCP2 Up	Unmarked
chr13	92914446	92914846	Cluster 1	MeCP2 Up	Poised_Enhancer
chr11	84050993	84051393	Cluster 1	MeCP2 Up	Unmarked
chr6	80662434	80662834	Cluster 4	MeCP2 Up	Unmarked
chr7	67564029	67564741	Cluster 1	MeCP2 Up	Unmarked
chr9	94143997	94144397	Cluster 2	MeCP2 Up	Unmarked
chr18	55136243	55136643	Cluster 3	MeCP2 Up	Unmarked
chr12	83168984	83169384	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	53146304	53146704	Cluster 1	MeCP2 Up	Poised_Enhancer
chr17	42447085	42447485	Cluster 2	MeCP2 Up	Unmarked
chr1	39868553	39868953	Cluster 1	MeCP2 Up	Active_Enhancer
chr11	17767486	17767886	Cluster 3	MeCP2 Up	Unmarked
chr5	131526795	131527195	Cluster 4	MeCP2 Down	Unmarked
chr8	113849908	113850308	Cluster 1	MeCP2 Up	Unmarked
chr16	95757811	95758211	Cluster 1	MeCP2 Up	Unmarked
chr4	67516414	67516814	Cluster 1	MeCP2 Up	Unmarked
chr6	40222376	40222776	Cluster 3	MeCP2 Down	Unmarked
chr9	118230641	118231041	Cluster 2	MeCP2 Up	Unmarked
chr13	92907353	92907753	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	13689785	13690185	Cluster 2	MeCP2 Up	Unmarked
chr15	44704601	44705001	Cluster 4	MeCP2 Up	Active_Enhancer
chr1	64304515	64304915	Cluster 1	MeCP2 Up	Unmarked
chr1	116378175	116378575	Cluster 4	MeCP2 Up	Unmarked
chr4	64802125	64802525	Cluster 2	MeCP2 Up	Unmarked
chr3	70305611	70306011	Cluster 2	MeCP2 Up	Unmarked
chr12	16258584	16258984	Cluster 2	MeCP2 Down	Polycomb
chr2	98696433	98696833	Cluster 2	MeCP2 Up	Unmarked
chr11	93638818	93639218	Cluster 2	MeCP2 Up	Poised_Enhancer
chr6	84132214	84132614	Cluster 3	MeCP2 Down	Polycomb
chr3	65832406	65832806	Cluster 3	MeCP2 Up	Unmarked
chr6	92527266	92527666	Cluster 3	MeCP2 Down	Unmarked
chr16	89990607	89991007	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	53782633	53783033	Cluster 2	MeCP2 Down	Unmarked
chr13	109135717	109136117	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	19273740	19274140	Cluster 2	MeCP2 Up	Poised_Enhancer
chr11	41338425	41338825	Cluster 4	MeCP2 Up	Unmarked
chr3	101686936	101687336	Cluster 1	MeCP2 Up	Unmarked
chr17	14670709	14671109	Cluster 3	MeCP2 Up	Unmarked
chr2	170734243	170734643	Cluster 2	MeCP2 Up	Poised_Enhancer
chr5	131654471	131654871	Cluster 4	MeCP2 Down	Unmarked
chr9	5629368	5629768	Cluster 1	MeCP2 Up	Unmarked
chr9	79003213	79003613	Cluster 1	MeCP2 Up	Unmarked
chr4	67557937	67558337	Cluster 2	MeCP2 Up	Unmarked
chr6	19556857	19557257	Cluster 1	MeCP2 Up	Unmarked
chr10	40371157	40371557	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	59235167	59235567	Cluster 2	MeCP2 Up	Poised_Enhancer
chr15	95036522	95036922	Cluster 2	MeCP2 Up	Unmarked
chr9	45292982	45293382	Cluster 2	MeCP2 Up	Poised_Enhancer
chr13	109351748	109352148	Cluster 1	MeCP2 Up	Unmarked
chr19	27212381	27212781	Cluster 2	MeCP2 Up	Unmarked
chr10	85463526	85463926	Cluster 3	MeCP2 Down	Polycomb
chr11	42653141	42653541	Cluster 2	MeCP2 Up	Unmarked
chr18	57564323	57564723	Cluster 3	MeCP2 Up	Unmarked
chr8	90149767	90150167	Cluster 3	MeCP2 Up	Polycomb
chr18	39044631	39045031	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	61300968	61301368	Cluster 1	MeCP2 Down	Poised_Enhancer
chr3	53702364	53702764	Cluster 3	MeCP2 Up	Poised_Enhancer
chr8	14424453	14424853	Cluster 3	MeCP2 Up	Unmarked
chr4	85155284	85155684	Cluster 4	MeCP2 Up	Unmarked
chr11	67479233	67479633	Cluster 3	MeCP2 Down	Unmarked
chr7	83815317	83815717	Cluster 1	MeCP2 Up	Unmarked
chr6	31810968	31811368	Cluster 1	MeCP2 Up	Unmarked
chr12	71432499	71432899	Cluster 1	MeCP2 Up	Active_Enhancer
chr19	22749999	22750399	Cluster 1	MeCP2 Up	Unmarked
chr3	84465099	84465499	Cluster 2	MeCP2 Up	Unmarked
chr2	16723507	16723907	Cluster 2	MeCP2 Up	Unmarked
chr9	33685677	33686077	Cluster 2	MeCP2 Up	Unmarked
chr8	114680890	114681290	Cluster 1	MeCP2 Up	Unmarked
chr7	118352545	118352945	Cluster 2	MeCP2 Up	Unmarked
chr8	116507264	116507664	Cluster 3	MeCP2 Up	Unmarked
chr17	11156159	11156559	Cluster 3	MeCP2 Up	Unmarked
chr14	24775782	24776182	Cluster 1	MeCP2 Up	Unmarked
chr11	106675324	106675724	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	19551346	19551746	Cluster 2	MeCP2 Up	Unmarked
chr14	28982967	28983367	Cluster 1	MeCP2 Up	Unmarked
chr10	66363518	66363918	Cluster 1	MeCP2 Up	Unmarked
chr16	24933226	24933626	Cluster 1	MeCP2 Up	Unmarked
chr11	75167480	75167880	Cluster 3	MeCP2 Down	Repressed_Promoter
chr13	20463511	20463911	Cluster 1	MeCP2 Up	Unmarked
chr9	96733172	96733572	Cluster 2	MeCP2 Up	Active_Promoter
chr5	132319523	132319923	Cluster 4	MeCP2 Down	Poised_Enhancer
chr6	91806195	91806595	Cluster 3	MeCP2 Up	Repressed_Promoter
chr1	23005450	23005850	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	118638653	118639053	Cluster 3	MeCP2 Up	Unmarked
chr4	51655638	51656038	Cluster 4	MeCP2 Up	Unmarked
chr7	98474833	98475233	Cluster 3	MeCP2 Up	Unmarked
chr2	80773885	80774285	Cluster 2	MeCP2 Up	Unmarked
chr3	76303130	76303530	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	61877977	61878377	Cluster 4	MeCP2 Up	Unmarked
chr13	53337606	53338006	Cluster 1	MeCP2 Down	Unmarked
chr16	95752326	95752726	Cluster 3	MeCP2 Up	Unmarked
chr4	13205397	13205797	Cluster 3	MeCP2 Up	Unmarked
chr18	55104361	55104761	Cluster 3	MeCP2 Up	Poised_Enhancer
chr7	45919187	45919587	Cluster 3	MeCP2 Down	Unmarked
chr13	84065015	84065415	Cluster 1	MeCP2 Up	Active_Promoter
chr12	108425136	108425536	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	76736885	76737285	Cluster 1	MeCP2 Up	Active_Enhancer
chr11	114345405	114345805	Cluster 3	MeCP2 Down	Unmarked
chr1	65317660	65318060	Cluster 2	MeCP2 Up	Unmarked
chr5	106094640	106095040	Cluster 3	MeCP2 Up	Unmarked
chr9	94613917	94614317	Cluster 1	MeCP2 Up	Poised_Enhancer
chr8	40209350	40209750	Cluster 2	MeCP2 Up	Unmarked
chr14	121176406	121176806	Cluster 1	MeCP2 Down	Poised_Enhancer
chr1	109987396	109987796	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	59474013	59474413	Cluster 2	MeCP2 Up	Unmarked
chr14	113361668	113362068	Cluster 1	MeCP2 Up	Unmarked
chrX	9268949	9269349	Cluster 4	MeCP2 Up	Active_Enhancer
chr3	137098616	137099016	Cluster 1	MeCP2 Up	Unmarked
chr7	83769999	83770399	Cluster 2	MeCP2 Up	Unmarked
chr10	38000722	38001122	Cluster 1	MeCP2 Up	Unmarked
chr14	48916844	48917244	Cluster 2	MeCP2 Up	Unmarked
chr9	112726735	112727135	Cluster 4	MeCP2 Up	Unmarked
chr4	64198046	64198446	Cluster 2	MeCP2 Up	Unmarked
chr10	108728294	108728694	Cluster 1	MeCP2 Up	Active_Enhancer
chr19	21041640	21042040	Cluster 2	MeCP2 Up	Unmarked
chr2	76927940	76928340	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	102910126	102910526	Cluster 3	MeCP2 Up	Unmarked
chr7	46472983	46473383	Cluster 1	MeCP2 Down	Active_Enhancer
chr3	137463472	137463872	Cluster 2	MeCP2 Up	Unmarked
chr13	91176933	91177333	Cluster 1	MeCP2 Up	Unmarked
chr3	9712574	9712974	Cluster 3	MeCP2 Down	Unmarked
chr10	66183562	66183962	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	9861362	9861762	Cluster 2	MeCP2 Up	Unmarked
chr9	91654559	91654959	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	141824325	141824725	Cluster 2	MeCP2 Up	Poised_Enhancer
chr1	166747320	166747720	Cluster 2	MeCP2 Up	Unmarked
chr4	82133918	82134318	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	193749110	193749510	Cluster 4	MeCP2 Up	Poised_Enhancer
chr3	17784060	17784460	Cluster 1	MeCP2 Up	Bivalent_Promoter
chr9	107402213	107402613	Cluster 1	MeCP2 Down	Poised_Enhancer
chr16	63671243	63671643	Cluster 1	MeCP2 Up	Unmarked
chr2	106514576	106514976	Cluster 2	MeCP2 Up	Unmarked
chr15	74514594	74514994	Cluster 3	MeCP2 Down	Repressed_Promoter
chr1	113979013	113979413	Cluster 2	MeCP2 Up	Unmarked
chr18	30962003	30962403	Cluster 2	MeCP2 Up	Unmarked
chr17	70899548	70899948	Cluster 2	MeCP2 Up	Unmarked
chr1	147345099	147345499	Cluster 2	MeCP2 Up	Unmarked
chr17	28009583	28009983	Cluster 1	MeCP2 Down	Unmarked
chr8	35952445	35952845	Cluster 1	MeCP2 Up	Unmarked
chr17	14664536	14664936	Cluster 2	MeCP2 Up	Unmarked
